Well Authorization Number,Completion Event Sequence,UWI,Zone Prod Period,Area Code,Formtn Code,Well Area Name,Oper Abbreviation,Production Days,Gas Production (e3m3),Oil Production (m3),Condensate Production (m3),Water Production (m3),Marketable Gas Volume (e3m3),Ethane Sales Volume (m3),Propane Sales Volume (m3),Butane Sales Volume (m3),Pentane Sales Volume (m3)
00153,00,100062908115W600,202203,6600,8100,PARKLAND,CANLIN,30.9,1700.9,0,0,61.2,1537.6,0,0,0,7.3
00244,00,100042408620W600,202204,8000,6200,STODDART,PAVILION,11.3,2.5,0,.1,0,1.5,0,.1,.1,.1
02945,00,200C020L094H0500,202203,5600,4150,LAPRISE,CANLIN,31,151,0,.9,1.5,125.4,0,5,7.9,9.8
02108,02,200A054B094P1002,202203,4700,8200,HELMET,CNRL,31,128.5,0,.1,4.4,116.3,0,0,0,0
01796,02,200D013J094J1002,202203,3200,8400,CLARKE,CANLIN,31,579.1,0,0,1337.6,381.1,0,0,0,0
04418,00,100163308114W600,202204,5860,4545,MICA,CARDINAL,29.9,21.7,88.2,0,1.1,18,0,0,0,.5
03699,02,200D091I094H0302,202204,7250,2600,PICKELL,CNRL,23,7.5,0,.2,.2,6.1,0,.2,.3,.3
03723,00,102061908619W600,202203,8000,4520,STODDART,PAVILION,29.6,22.9,112.9,0,6.4,16.8,0,.6,.8,.8
05087,00,200D091E094H0600,202203,5850,4800,MARTIN,TOURMALINE,29,53.1,0,6.9,3.1,42.5,0,4,4.8,3.9
05155,02,200D091C094H0602,202204,5850,2700,MARTIN,CNRL,30,7.5,0,.2,.2,6.1,0,.3,.3,.3
05193,00,200C094E094H0500,202204,5600,4150,LAPRISE,CANLIN,29.5,193.3,0,.8,3.8,157.5,0,8.3,11.2,11.5
04498,02,200A003B093P0102,202203,9030,2800,KELLY,CVE ENERGY,31,33.6,0,0,.7,28.3,.6,0,0,0
04776,03,200B073G093I1503,202202,4380,4100,N GRIZZLY,CNRL,28,628.3,0,0,7,498.8,0,0,0,0
06613,00,200D075E093P0100,202203,6430,2200,NOEL,CVE ENERGY,29.3,129.1,0,1.3,2.5,110.7,9.4,2.2,1.3,.5
06354,00,200D075A093P0800,202204,3340,1420,CUTBANK,CVE ENERGY,30,69.4,0,0,1.5,44.1,26,31.2,13.3,7.6
06440,00,200B067C094A1600,202203,6800,4800,PEEJAY,CNRL,30.5,3.5,37.5,0,166.5,3.3,0,0,.1,.2
06566,00,202B048D093P0800,202202,6430,2200,NOEL,CVE ENERGY,28,150.5,0,1.3,2.6,106.6,14,3.6,0,0
06599,02,200A009D093P0802,202204,6430,2625,NOEL,CVE ENERGY,30,3.2,0,0,.1,2.6,.3,0,0,0
06600,00,200B066L093P0100,202203,6430,2510,NOEL,CVE ENERGY,29.8,55.2,0,.5,1.1,45.7,5.3,2.2,.8,0
05559,00,200A025G094H1600,202203,7660,4990,RING,CNRL,31,24.8,0,0,.5,23.3,.1,.8,2.1,2.5
07058,00,200D059J093P0200,202202,6430,2200,NOEL,CVE ENERGY,28,115.4,0,1,2.1,93.2,7.7,1.8,0,0
07058,00,200D059J093P0200,202203,6430,2200,NOEL,CVE ENERGY,31,119.8,0,1.2,2.4,98.2,8.5,2.2,.8,0
07136,00,200C036F093P0100,202203,5170,2505,NOEL,CVE ENERGY,30.3,59.4,0,.5,1.2,51.4,4.1,.7,0,0
07155,00,200B002A093P0700,202202,6430,2510,NOEL,CVE ENERGY,28,140.4,0,1.2,2.4,114.2,19.3,5.4,0,0
07622,00,200C094I094P1000,202204,4700,8200,HELMET,CNRL,30,265.5,0,0,3.2,241.5,0,0,0,3.6
07952,00,200D053G093P0100,202204,5170,2510,KELLY,CVE ENERGY,30,157.9,0,0,3.4,127.4,35.9,19.3,9.1,9
08016,00,200C049H093P0100,202204,5170,2510,KELLY,CVE ENERGY,30,56.6,0,0,1.2,48.6,8.7,2.5,.8,0
07659,00,200A063G094B0800,202204,0320,2600,ALTARES,PETRONAS,27,13.4,0,0,.6,12.6,0,.4,.5,0
07697,00,200D033A093P0100,202204,5170,2505,KELLY,CVE ENERGY,30,112.8,0,0,2.4,98.1,13.7,2.5,.8,0
