"ABAN_FRM FILE"
"UWI","Wa Num","Drilling Event","Plug Num","Plug Type","Formtn Code"
"100131108117W600","00004","00","01","CEMT","4040"
"200A065E093I1600","00005","00","01","CEMT","1500"
"200A065E093I1600","00005","00","02","CEMT","1500"
"200C044E093I1600","00010","00","01","CEMT","1500"
"200A045D094B1600","00011","00","01","CEMT","2690"
"100042907917W600","00013","00","01","CEMT","2200"
"100042907917W600","00013","00","03","CEMT","1700"
"100042907917W600","00013","00","04","CEMT","1500"
"100042907917W602","00013","02","01","CEMT","2220"
"100042907917W602","00013","02","02","CEMT","2200"
"100042907917W602","00013","02","03","CEMT","1700"
"100042907917W602","00013","02","04","CEMT","1500"
"100070507917W600","00014","00","01","CEMT","2200"
"100070507917W600","00014","00","02","CEMT","1500"
"100100707916W600","00015","00","01","CEMT","2220"
"100100707916W600","00015","00","02","CEMT","2000"
"100100907916W600","00017","00","01","CEMT","2220"
"102113107816W600","00019","00","01","CEMT","2200"
"100162107915W600","00021","00","01","CEMT","2220"
"100162107915W600","00021","00","01","CEMT","2400"
"100162107915W600","00021","00","02","CEMT","2200"
"100052708219W600","00025","00","01","CEMT","4040"
"100052708219W600","00025","00","02","CEMT","2800"
"100052708219W600","00025","00","02","CEMT","2850"
"100033008318W600","00031","00","01","CEMT","1725"
"100133408319W600","00033","00","01","CEMT","6110"
"100031408318W600","00034","00","01","CEMT","4040"
"100031408318W600","00034","00","02","CEMT","4800"
"100131708117W600","00036","00","01","CEMT","4590"
"200D098I094A1100","00045","00","01","CEMT","7000"
"200D098I094A1100","00045","00","02","CEMT","3200"
"200D098I094A1100","00045","00","02","CEMT","4050"
"100042308621W600","00046","00","01","CEMT","4500"
"100042308621W600","00046","00","01","CEMT","4800"
"100042308621W600","00046","00","02","CEMT","4100"
"100130108420W600","00047","00","01","CEMT","7405"
"100130108420W600","00047","00","02","CEMT","4800"
"100130108420W600","00047","00","03","CEMT","4800"
"100120108317W600","00048","00","01","CEMT","6110"
"100120108317W600","00048","00","02","CEMT","4800"
"100120108317W600","00048","00","03","CEMT","4500"
"100051408225W600","00053","00","01","BPN","2950"
"200D095H094G0700","00059","00","01","CEMT","2710"
"200A079B094H0400","00061","00","01","CEMT","8340"
"200A079B094H0400","00061","00","01","CEMT","8430"
"200A079B094H0400","00061","00","02","CEMT","4040"
"200A079B094H0400","00061","00","03","CEMT","4040"
"200A079B094H0400","00061","00","04","CEMT","4040"
"100120708418W602","00062","02","03","CEMT","4100"
"100010208419W600","00063","00","01","CEMT","6110"
"100010208419W600","00063","00","02","CEMT","4802"
"100010208419W600","00063","00","03","CEMT","4040"
