"AREA FILE"
"Area Code","Area Desc","Area Eff Date","Area Term Date","Desgntd Field Flag"
"0000","CLIENT CLASSIFIED","20150220","20160322","Y"
"0050","ADSETT","20160625","","Y"
"0100","AIRPORT","20160625","","Y"
"0200","AITKEN CREEK","20160625","","Y"
"0210","AITKEN CREEK NORTH","19930301","","Y"
"0250","ALCES","20160625","","Y"
"0320","ALTARES","20160625","","Y"
"0350","ATTACHIE","20160625","","Y"
"0380","BEAR FLAT","20160625","","Y"
"0400","BEATTON RIVER","20160625","","Y"
"0600","BEATTON RIVER WEST","20160625","","Y"
"0700","BEAVERDAM","20160625","","Y"
"0740","BEAVER RIVER","20160625","","Y"
"0760","BEAVERTAIL","20160625","","Y"
"0800","BEG","20160625","","Y"
"1000","BEG WEST","20160625","","Y"
"1200","BERNADET","20160625","","Y"
"1260","BIRCH","20160625","","Y"
"1280","BIRLEY CREEK","19940401","","Y"
"1300","BIVOUAC","20160625","","Y"
"1350","BLACK CREEK","19970321","","Y"
"1360","BLAIR","20051102","","Y"
"1400","BLUEBERRY","20160625","","Y"
"1600","BLUEBERRY EAST","20160625","","Y"
"1800","BLUEBERRY WEST","20160625","","Y"
"1880","BOUDREAU","19990101","","Y"
"1900","BOUGIE","20160625","","Y"
"1950","BOULDER","20160625","","Y"
"2000","BOUNDARY LAKE","20160625","","Y"
"2020","BOUNDARY LAKE NORTH","20160625","","Y"
"2100","BRASSEY","20160625","","Y"
"2150","BRAZION","20160625","","Y"
"2160","BRIAR RIDGE","19920831","","Y"
"2200","BUBBLES","20160625","","Y"
"2240","BUBBLES NORTH","20160625","","Y"
"2300","BUCKINGHORSE","20160625","","Y"
"2400","BUICK CREEK","20160625","","Y"
"2600","UNKNOWN - REMOVE ASSOC. POOL","20010614","20191217","N"
"2700","BUICK CREEK NORTH","20160625","","Y"
"2800","BUICK CREEK WEST","20160625","","Y"
"2810","BULLDOG","20160625","","Y"
"2820","BULRUSH","20160625","","Y"
"2840","BULRUSH EAST","20160625","20060922","N"
"2850","BURNT RIVER","19950323","","Y"
"2852","MIST MOUNTAIN","19500101","19930920","N"
"2860","BULLMOOSE","20160625","","Y"
"2865","BULLMOOSE WEST","20160625","","Y"
"2870","BUTLER","20160625","","Y"
"2900","CABIN","20160625","","Y"
"2920","CACHE CREEK","20160625","","Y"
"2940","CARIBOU","20160625","","Y"
"2960","CECIL LAKE","20160625","","Y"
"2985","CHINCHAGA RIVER","19950714","","Y"
"2990","CHOWADE","19920930","","Y"
"3200","CLARKE LAKE","20160625","","Y"
"3230","COMMOTION","20160625","","Y"
"3240","CONROY CREEK","19971205","","Y"
"3250","CROW RIVER","19960531","","Y"
"3260","CRUSH","20160625","","Y"
"3300","CURRANT","20160625","","Y"
"3320","CURRANT WEST","20160625","","Y"
"3340","CUTBANK","20160625","","Y"
"3360","CYPRESS","20160625","","Y"
"3380","DAHL","20160625","","Y"
"3390","DAIBER","20160625","","Y"
"3400","DAWSON CREEK","20160625","","Y"
"3410","DESAN","20160625","","Y"
"3420","DILLY","20160625","","Y"
"3425","DOE","20160625","","Y"
"3426","DOIG RAPIDS","19950427","","Y"
"3427","DONIS","20160625","20060922","N"
"3430","DRAKE","20160625","","Y"
"3440","EAGLE","20160625","","Y"
"3445","EAGLE WEST","20160625","","Y"
"3450","EKWAN","20160625","","Y"
"3453","ELBOW CREEK","19950322","","Y"
"3455","ELLEH","20160625","","Y"
"3457","ELLEH NORTH","20160625","","Y"
"3460","ELM","20160625","","Y"
"3465","ESKAI","20051123","","Y"
"3470","ETTHITHUN","20160625","20031201","N"
"3480","EVIE BANK","19960111","","Y"
"3490","FEDERAL","20060628","","Y"
"3500","FARRELL CREEK (SEE KOBES)","19800301","19821231","N"
"3510","FARRELL CREEK WEST","20090902","","Y"
"3515","FIR CREEK","20100101","","Y"
"3520","FIREBIRD","20160625","","Y"
"3540","FIREWEED","20160625","","Y"
"3560","FLATROCK","20160625","","Y"
"3580","FLATROCK WEST","20160625","","Y"
"3600","FORT ST JOHN","20160625","","Y"
"4000","FORT ST JOHN SOUTHEAST","20160625","","Y"
"4100","GOOSE","20160625","","Y"
"4150","GOPHER","20160625","","Y"
"4200","GOTE","20160625","","Y"
"4300","GRAHAM","20160625","","Y"
"4350","GRASSY","20160625","","Y"
"4370","GREEN CREEK","20020301","","Y"
"4375","GREENHILLS","20091028","","Y"
"4380","GRIZZLY NORTH","20160625","","Y"
"4385","GRIZZLY SOUTH","20160625","","Y"
"4390","GROUNDBIRCH","19940106","","Y"
"4400","GUNDY CREEK","20160625","","Y"
"4460","GUNDY CREEK WEST","20160625","","Y"
"4470","GUNNELL CREEK","19960601","","Y"
"4485","GUTAH","20040429","","Y"
"4500","GWILLIM","20160625","","Y"
"4600","HALFWAY","20160625","","Y"
"4650","HAY RIVER","19970407","","Y"
"4700","HELMET","20160625","","Y"
"4720","HELMET NORTH (SEE HELMET)","20160625","20051231","N"
"4780","HIDING CREEK","19941201","","Y"
"4800","HIGHHAT MOUNTAIN","19971128","","Y"
"4850","HOFFARD","20160625","","Y"
"4860","HOSSITL","20160625","","Y"
"4875","HUNTER","20160625","","Y"
"4900","INGA","20160625","","Y"
