"CLIENTS FILE"
"Client Id","Client Name","Client Abbrev","Client Eff Period"
"00000","No Operator or Non-Active Operator","NO-OPERATOR",""
"00003","365165 B.C. LTD.","",""
"00005","Dome Petroleum Limited","DOME","198906"
"00006","Kanati Energy Incorporated","KANATI",""
"00010","Ovintiv Canada ULC","OVV","202001"
"00013","Calpine Canada Resources Company","CALPINE",""
"00015","Encor Energy Corporation Inc.","ENCOR",""
"00020","Canetic Resources Inc.","CANETIC",""
"00027","853926 Alberta Ltd.","853926 ALBERTA",""
"00028","Ketch Resources Ltd.","KRL","200607"
"00029","Crescent Point Resources Ltd.","CRESCENT POINT",""
"00030","Lightning Energy Ltd.","LIGHTNING",""
"00031","Bonterra Energy Corp.","BONTERRA","200904"
"00032","Cougar Hydrocarbons Inc.","COUGAR","200502"
"00033","Crescent Point Energy Corp.","CPEC","201002"
"00035","Alberta Energy Company Ltd.","",""
"00037","LongBow Resources Inc.","LONGBOW RES",""
"00038","Altana Exploration Ltd.","ALTANA",""
"00040","Cequence Acquisitions Ltd.","CEQUA",""
"00041","1019313 Alberta Ltd.","DISCOVERY",""
"00042","Amber Energy Inc.","AMBER",""
"00043","Twin Butte Energy Ltd.","TBE",""
"00044","Amoco Canada Petroleum Company Limited","","200009"
"00045","BP Canada Energy Company","BP",""
"00047","Bonavista Energy Corporation","BONAVISTA","199710"
"00048","Amerada Hess Canada Ltd.","",""
"00050","Inverness Hydrocarbons Ltd.","",""
"00052","Devon ARL Corporation","DEVON ARL",""
"00056","ARC Petroleum Inc.","",""
"00057","ARC Resources Ltd.","ARCRES","190001"
"00059","Cyries Wyoming Inc.","CYRIES WY",""
"00060","Aquitaine Company of Canada Ltd","AQUIT",""
"00062","Ulster Resources Ltd.","",""
"00063","Archean Oil and Gas Ltd.","ARCHEAN","200503"
"00065","Prairie Provident Resources Canada Ltd.","PPR","199604"
"00066","Aquilo Energy Inc.","AQUILO","200310"
"00067","Centrica Canada Limited","CENTRICA",""
"00068","Aspect Energy Ltd.","ASPECT",""
"00073","Anderson Energy Ltd.","AEL",""
"00076","1023095 Alberta Ltd.","1023095AL",""
"00080","Temple Exploration Inc.","TEMPLE",""
"00082","Mancal Energy Inc.","MANCAL","200307"
"00083","domcan","",""
"00084","Baay Land Consultants Ltd.","","199503"
"00085","North Canadian Oils Limited","NCO",""
"00086","Canadian Spirit Resources Inc.","CSRI","198701"
