"CODES FILE"
"Table ID","Code","Description"
"","CAST","CASING TYPES"
"","CFLU","CE FLUID TYPE"
"","CMOD","CE MODE CODE"
"","DFLU","DE FLUID TYPE"
"","DMOD","DE MODE CODE"
"","FORT","FORMATION TYPES"
"","OPNT","OPERATION TYPES"
"","PLUT","PLUG TYPES"
"","STRUC","STRUCTURE CODE"
"","WFLU","WELL FLUID TYPE"
"","WMOD","WELL MODE CODE"
"ACTT","ABD","ABANDONED"
"ACTT","AOF","AOF TEST"
"ACTT","BP","OBSOLETE"
"ACTT","CEMP","CEMENT PLUGS SET"
"ACTT","COMP","COMPLETE/WORKOVER"
"ACTT","CORE","CORE CUT"
"ACTT","CSGI","CASING - INTERMEDIATE"
"ACTT","CSGL","CASING - LINER"
"ACTT","CSGP","CASING - PRODUCTION"
"ACTT","CSGS","CASING - SURFACE"
"ACTT","DHE","DOWNHOLE EQUIPMENT"
"ACTT","DRIL","DRILLING"
"ACTT","DST","DRILL STEM TESTING"
"ACTT","LOG","LOGS RUN"
"ACTT","PST","PRESSURE SURVEY TEST"
"ACTT","REEN","RE-ENTERED"
"ACTT","RESD","RESUMED DRILLING"
"ACTT","RFT","REPEAT FORMATION TESTING"
"ACTT","RR","RIG RELEASED"
"ACTT","SPUD","SPUD"
"ACTT","SUSD","SUSPENDED DRILLING"
"APPT","OPR","ONGOING PROD FLARING"
"APPT","RECL","RECLASSIFICATION"
"APPT","THA","TEST HOLE AUTHORIZATION"
"APPT","TPFL","TEMPORARY FLARING"
"APPT","WA","WELL AUTHORIZATION"
"APPT","WABD","WELL ABANDONMENT"
"APPT","WALT","WELL ALTERATION"
"APPT","WNC","WELL NAME CHANGE"
"APPT","WTHA","WELL/TEST HOLE AMENDMENT"
"CALC","DEC","DECLINE"
"CALC","MBL","MATERIAL BALANCE"
"CALC","OTH","OTHER"
"CALC","VOL","VOLUMETRIC"
"CASG","AC80","AC80 CASING"
"CASG","G110","GR 110 CASING"
"CASG","G125","G125 CASING"
"CASG","G70","G70 CASING"
"CASG","H40","H40 CASING"
"CASG","HE","HE CASING"
"CASG","IERW","IERW CASING"
"CASG","IK55","IK55 CASING"
"CASG","IK70","IK70 CASING"
"CASG","J55","J55 CASING"
"CASG","JE","JE CASING"
"CASG","JERW","JERW CASING"
"CASG","K55","K55 CASING"
"CASG","KE","KE CASING"
"CASG","L80","L80 CASING"
"CASG","MN80","MN80 CASING"
"CASG","N80","N80 CASING"
"CASG","P110","P110 CASING"
"CASG","P80","P80 CASING"
"CASG","PS80","PS80 CASING"
"CASG","SO55","SOO55 CASING"
"CASG","SO95","SOO95 CASING"
"CASG","SP80","SP80 CASING"
"CAST","COND","CONDUCTOR"
"CAST","INTR","INTERMEDIATE"
"CAST","LINE","LINER"
"CAST","PROD","PRODUCTION"
"CAST","SURF","SURFACE"
"CAST","TUBE","TUBING"
"CEMC","A","CLASS A"
"CEMC","B","CLASS B"
"CEMC","C","CLASS C"
"CEMC","D","CLASS D"
"CEMC","G","CLASS G"
"CEMC","H","CLASS H"
"CEMG","010","GRADE 0-1-0"
"CEMG","011","GRADE 0-1-1"
"CEMG","0112","GRADE 0-1-12"
"CEMG","012","GRADE 0-1-2"
"CEMG","013","GRADE 0-1-3"
"CEMG","014","GRADE 0-1-4"
"CEMG","016","GRADE 0-1-6"
"CEMG","018","GRADE 0-1-8"
"CEMG","110","GRADE 1-1-0"
"CEMG","111","Grade 1-1-1"
"CEMG","1112","GRADE 1-1-12"
"CEMG","1116","GRADE 1-1-16"
"CEMG","112","GRADE 1-1-2"
"CEMG","113","Grade 1-1-3"
"CEMG","114","GRADE 1-1-4"
"CEMG","115","Grade 1-1-5"
"CEMG","116","GRADE 1-1-6"
"CEMG","118","GRADE 1-1-8"
"CEMG","120","Grade 1-2-0"
"CEMG","122","Grade 1-2-2"
"CEMG","124","Grade 1-2-4"
"CEMG","128","GRADE 1-2-8"
"CEMG","210","GRADE 2-1-0"
"CEMG","211","Grade 2-1-1"
"CEMG","2112","GRADE 2-1-12"
"CEMG","2116","GRADE 2-1-16"
"CEMG","212","GRADE 2-1-2"
"CEMG","214","GRADE 2-1-4"
"CEMG","216","GRADE 2-1-6"
"CEMG","218","GRADE 2-1-8"
"CEMT","COND","CONDUCTOR"
"CEMT","PLI","PROD LINER INT"
"CEMT","REMD","REMEDIAL"
"CEMT","SQZ","SQUEEZE"
"CEMT","SRF","SURFACE"
"CEMT","STG","STAGE"
"CFLU","AGAS","Acid Gas"
"CFLU","CO2","Carbon Dioxide"
"CFLU","GAS","Gas"
"CFLU","GEOT","Geothermal Fluid"
"CFLU","LPG","Liquified Petroleum Gas"
"CFLU","OIL","Oil"
"CFLU","SOLV","Solvent"
"CFLU","UND","Undefined"
"CFLU","WATR","Water"
"CLAT","DV","DEVELOPMENT"
"CLAT","EO","EXPLORATORY OUTPOST"
"CLAT","EW","EXPLORATORY WILDCAT"
"CLAT","EX","EXPERIMENTAL"
"CLAT","GO","Geothermal Operation"
"CLAT","GT","Geothermal Test Hole"
"CLAT","TG","Thermal Gradient"
"CLAT","TH","TEST HOLE"
"CLNT","GEO","GEOPHYSICAL CLIENT"
"CLNT","OTH","OTHER CLIENTS"
"CLNT","PIMS","PIMS CLIENT"
"CLNT","PLS","PIPELINE CLIENT"
"CMOD","ABAN","Abandoned"
"CMOD","ABNZ","Abandoned Zone"
"CMOD","ACT","Active"
"CMOD","COMP","Completed"
"CMOD","GAST","Gas Testing"
"CMOD","SUSP","Suspended"
"CMOD","UND","Undefined"
"COAT","1/3","1/3RD"
"COAT","2/3","2/3RD"
"COAT","FULL","FULL DIAMETER"
"COAT","NA","NOT AVAILABLE (BLANK)"
"COAT","OTHR","OTHER"
"COAT","SIDE","SIDEWALL PLUG"
"COAT","SMPL","SMALL PLUG"
"COAT","SPEC","SPECIAL"
"COAT","SWC","SIDE WALL CORE"
"COMT","ABNZ","ABANDONED ZONE"
"COMT","DUAL","DUAL"
"COMT","GL","GAS LIFT"
"COMT","MULT","MULTI"
"COMT","OHB","OPENHOLE/BAREFOOT"
"COMT","SNGL","SINGLE"
"COMT","SUSZ","SUSPENDED ZONE"
"CONT","G","GAS"
"CONT","GO","GAS/OIL"
"CONT","GOW","GAS/OIL/WATER"
"CONT","GW","GAS/WATER"
"CONT","O","OIL"
"CONT","OW","OIL/WATER"
"CONT","W","WATER"
"CORT","2/3","2/3RD CONV"
"CORT","BILL","BILLETS"
"CORT","CONV","CONVENTIONAL"
"CORT","FD","FULL DIAMETER"
"CORT","NA","NOT AVAILABLE"
"CORT","OBLR","OBLIQUE ROTARY"
"CORT","OILB","OIL BASE"
"CORT","OTHR","OTHER"
"CORT","PLUG","CORE PLUGS"
"CORT","PRES","PRESSURE"
"CORT","SAMP","SAMPLES"
"CORT","SEGM","SEGMENTS"
"CORT","SIDE","SIDEWALL"
"CORT","SIDR","SIDEWALL ROTARY"
"CORT","SLAB","2/3RD SLAB"
"CORT","SLD","SLIDES"
"CORT","SPEC","SPECIAL"
"CORT","SPNG","SPONGE"
"CORT","THRD","ONE THIRD SLAB 1/3RD"
"CSPG","CONT","OTHER CONTRACTORS"
"CSPG","FN","FIRST NATIONS"
"CSPG","OTH","OTHER EXPENSES"
"CSPG","PGOV","PROV'L GOVERNMENT SERVICES"
"CSPG","SAL","SALARIES AND BENEFITS"
"CSPG","SUPP","SUPPLIERS"
"CSPG","SYS","SYSTEMS CONTRACTORS"
"CSUB","ACID","ACIDIZE"
"CSUB","BP","BRIDGE PLUG SET"
"CSUB","CSQ","CEMENT SQUEEZE"
"CSUB","FRAC","FRACTURE"
"CSUB","INJ","INJECTION TESTING"
"CSUB","OH","OPEN HOLE"
"CSUB","OTH","OTHER"
"CSUB","PERF","PERFORATE"
"CSUB","REM","REMEDIAL"
"DECT","EXP","EXPONENTIAL"
"DECT","HAR","HARMONIC"
"DECT","HYP","HYPERBOLIC"
"DFLU","AGAS","Acid Gas"
"DFLU","CO2","Carbon Dioxide"
"DFLU","GAS","Gas"
"DFLU","GEOT","Geothermal Fluid"
"DFLU","LPG","Liquified Petroleum Gas"
"DFLU","MGAS","Multiple Gas"
"DFLU","MOG","Multiple Oil and Gas"
"DFLU","MOIL","Multiple Oil"
"DFLU","OIL","Oil"
"DFLU","SOLV","Solvent"
"DFLU","UND","Undefined"
"DFLU","WATR","Water"
"DIMT","ENG","ENGLER ASTM D86 (CONDENSATE)"
"DIMT","HEM","HEMPEL METHOD"
"DIMT","MOD","MODIFIED ASTM D86"
"DMOD","ABAN","Abandoned"
"DMOD","ABNZ","Abandoned Zone"
"DMOD","ACT","Active"
"DMOD","CASE","Cased"
"DMOD","COMP","Completed"
"DMOD","DRIL","Drilling"
"DMOD","DSUS","Drilling Suspended"
"DMOD","GAST","Gas Testing"
"DMOD","PRES","Prep to Resume"
"DMOD","SUSP","Suspended"
"DSTT","CB","CONVENTIONAL BOTTOM-HOLE"
"DSTT","CBCC","CONVENTIONAL BOTTOM-HOLE CCT"
"DSTT","CHT","CASED HOLE TEST"
"DSTT","CSO","CONVTL STRADDLE BLANK-OFF"
"DSTT","CSOC","CONVTL STRADDLE BLANK-OFF CCT"
"DSTT","CSP","CONVTL STRADDLE BY-PASS"
"DSTT","CSPC","CONVTL STRADDLE BY-PASS CCT"
"DSTT","IB","INFLATE BOTTOM-HOLE"
"DSTT","IBCC","INFLATE BOTTOM-HOLE CCT"
"DSTT","ISO","INFLATE STRADDLE BLANK-OFF"
"DSTT","ISOC","INFLATE STRADDLE BLANK-OFF CCT"
"DSTT","ISP","INFLATE STRADDLE BY-PASS"
"DSTT","ISPC","INFLATE STRADDLE BY-PASS CCT"
"DSTT","WFRT","WIRELINE FLOW RATE TEST"
"EQGT","C75","C75"
"EQGT","C95","C95"
"EQGT","H40","H40"
"EQGT","J55","J55"
"EQGT","K55","K55"
"EQGT","L80","L80"
"EQGT","N80","N80"
"EQGT","P110","P110"
"EQGT","V150","V150"
"EQST","101.","4.000"
"EQST","114.","4.500"
"EQST","127.","5.000"
"EQST","139.","5.500"
"EQST","177.","7.000"
"EQST","219.","8.625"
"EQST","244.","9.625"
"EQST","26.7","1.050"
"EQST","31.7","1.250"
"EQST","33.4","1.315"
"EQST","42.2","1.660"
"EQST","48.3","1.900"
"EQST","52.4","2.063"
"EQST","60.3","2.375"
"EQST","73.0","2.875"
"EQST","80.3","3.000"
"EQST","88.9","3.500"
"EQUT","ANCH","TUBING ANCHOR"
"EQUT","BHCK","BOTTOM HOLE CHOKES"
"EQUT","BLJT","BLAST JOINTS"
"EQUT","BRPL","BRIDGE PLUGS"
"EQUT","FCPL","FLOW COUPLING"
"EQUT","FLCH","FLOW CHOKE"
"EQUT","GLMD","GAS LIFT MANDRELS"
"EQUT","NIPL","NIPPLE"
"EQUT","ONOF","ON-OFF TOOL"
"EQUT","PCKR","PACKERS"
"EQUT","PMP","DOWNHOLE PUMP"
"EQUT","PPUP","PERFORATED PUP JOINT"
"EQUT","PROD","POLISHED RODS"
"EQUT","PSN","PUMP SEATING NIPPLE"
"EQUT","REEG","REENTRY GUIDES"
"EQUT","REJT","RELEASING JOINT"
"EQUT","RIDN","RESTRICTED ID NIPPLES"
"EQUT","RODS","SUCKER RODS"
"EQUT","SEAL","SEAL ASSEMBLES"
"EQUT","SKBR","SINKER BAR"
"EQUT","SLVE","CIRCULATING SLEEVE"
"EQUT","SPST","SPAGHETTI STRING"
"EQUT","TBGD","TUBING DRAIN"
"EQUT","TCPL","THERMO COUPLE"
"EQUT","TISV","TUBING INTEGRAL SAFETY VALVE"
"EQUT","TUBG","TUBING"
"EQUT","XOVR","CROSS OVER COLLAR"
"FACT","B","Battery Site"
"FACT","B2","Processing Battery"
"FACT","CD","Compressor Dehydrator"
"FACT","CS","Compressor Station"
"FACT","DS","Disposal Station"
"FACT","GD","Gas Dehydrator"
"FACT","GP","Gas Plant"
"FACT","IS","Injection Station"
"FACT","LNG","LNG Facility"
"FACT","OM","Oil Sales Meter"
"FACT","OTH","Other Facilities"
"FACT","PDE","Pad (Shared) Equipment"
"FACT","PE","Pipeline Equipment"
"FACT","PG","Pipeline Gathering"
"FACT","PL","GAS PLANT"
"FACT","PT","Pipeline Terminal"
"FACT","SB","Satellite Battery"
"FACT","SM","Gas Sales Meter"
"FACT","TF","Test Facility"
"FACT","TT","Tank Terminal"
"FACT","WH","Water Hub"
"FAPT","ABS","ABSORPTION"
"FAPT","ADS","ADSORPTION"
"FAPT","AMIN","AMINE CONTACTOR"
"FAPT","CBA","COLD BED ADS TAIL GAS CLEAN-UP"
"FAPT","DEA","DIETHANOLAMINE"
"FAPT","DED","DIETHANOLAMINE (OBSOLETE)"
"FAPT","DGA","DIGLYCOLAMINE"
"FAPT","FLEX","FLEXSORB"
"FAPT","FRAC","FRACTIONATION"
"FAPT","IRSP","IRON SPONGE"
"FAPT","MCRC","M AND C TAIL GAS CLEAN-UP"
"FAPT","MDEA","METHYLDIETHANOLAMINE"
"FAPT","MDED","METHYLDIETHANOLAMINE (OBSOLETE"
"FAPT","MEA","MONOETHANOLAMINE"
"FAPT","MODC","MODIFIED CLAUS"
"FAPT","MOLE","MOLE SIEVE"
"FAPT","NA2S","DISODIUM SULPHATE"
"FAPT","NAS","DISODIUM SULPHATE (OBSOLETE)"
"FAPT","RFG","REFRIGERATION (OBSOLETE)"
"FAPT","RFRG","REFRIGERATION"
"FAPT","SCOT","SHELL CLAUS OFF_GAS TAIL GASCU"
"FAPT","SLFR","SULFREEN"
"FAPT","STAB","STABILIZATION"
"FAPT","SULF","SULFINOL"
"FAPT","TRBX","TURBO EXPANDER"
"FLOT","COND","CONDENSATE"
"FLOT","GAS","GAS"
"FLOT","OIL","OIL"
"FLOT","UND","UNDEFINED"
"FLOT","WTR","WATER"
"FORT","0000","NOT DEFINED"
"FORT","0040","CENOZOIC"
"FORT","0050","QUATERNARY"
"FORT","0060","PLEISTOCENE"
"FORT","0070","CAPE BALL"
"FORT","0075","PRE-TERTIARY"
"FORT","0100","TERTIARY"
"FORT","0105","BOUNDARY BAY"
"FORT","0108","MUD BAY"
"FORT","0120","SKONUN"
"FORT","0130","MASSET"
"FORT","0140","KISHENEHN"
"FORT","0150","CHUCKANUT"
"FORT","0175","MESOZOIC"
"FORT","0180","CRETACEOUS"
"FORT","0200","UPPER CRETACEOUS"
"FORT","0500","NANAMIO GROUP"
"FORT","0600","GABRIOLA"
"FORT","0610","SPRAY"
"FORT","0620","GEOFFREY"
"FORT","0630","NORTHUMBERLAND"
"FORT","0640","DE COURCY"
"FORT","0650","CEDAR DISTRICT"
"FORT","0660","PROTECTION"
"FORT","0670","NEWCASTLE"
"FORT","0673","DOUGLAS COAL"
"FORT","0675","PENDER"
"FORT","0680","EXTENSION"
"FORT","0690","EAST WELLINGTON"
"FORT","0700","HASLAM"
"FORT","0710","COMOX"
"FORT","0720","BENSON"
"FORT","1300","WAPITI"
"FORT","1350","BELLY RIVER"
"FORT","1360","WAPIABI"
"FORT","1365","PUSKWASKAU"
"FORT","1368","CHINOOK"
"FORT","1380","BAD HEART"
"FORT","1390","MUSKIKI"
"FORT","1398","CARDIUM ZONE"
"FORT","1400","CARDIUM SAND"
"FORT","1405","BLACKSTONE"
"FORT","1410","KASKAPAU"
"FORT","1411","SECOND WHITE SPECKLED SHALE"
"FORT","1412","FIRST PETROLIFEROUS SHALE"
"FORT","1414","SECOND PETROLIFEROUS SHALE"
"FORT","1415","POUCE COUPE"
"FORT","1420","DOE CREEK"
"FORT","1450","FORT NELSON"
