"CORE_CUT FILE"
"UWI","Area_code","Formtn_code","Pool_seq","Wa_num","Drillng_event_seq","Core_date","Top_Core_Depth (m)","Base_Core_Depth (m)","Core_formtn_code","Cut_metre (m)","Recvrd_metre (m)","Core_comments","Core_type","Core_Anlyss_Type","Core_num","Project_code"
"200D055A082G0200","","","","00003","00","19610210","445.7","446.1","4040","1.2",".7","","CONV","FULL","002",""
"100131108117W600","","","","00004","00","19500112","654.1","655","2200",".9",".8","","CONV","","001",""
"100131108117W600","","","","00004","00","19500112","655","655.6","2200",".6",".5","","CONV","","002",""
"100131108117W600","","","","00004","00","19500112","655.6","657.1","2200","1.5","1.4","","CONV","","003",""
"100131108117W600","","","","00004","00","19500112","657.1","657.7","2200",".6",".1","","CONV","","004",""
"100131108117W600","","","","00004","00","19500112","662.9","663.8","2200",".9","0","","CONV","","005",""
"100131108117W600","","","","00004","00","19500112","663.8","664.7","2200",".9","0","","CONV","","006",""
"100131108117W600","","","","00004","00","19500112","664.7","665.2","2200",".4",".4","","CONV","","007",""
"100131108117W600","","","","00004","00","19500112","665.2","666.6","2200","1.3",".7","","CONV","","008",""
"100131108117W600","","","","00004","00","19500112","666.6","668.1","2200","1.5",".3","","CONV","","009",""
"100131108117W600","","","","00004","00","19500112","668.1","668.7","2200",".6",".3","","CONV","","010",""
"100131108117W600","","","","00004","00","19500112","668.7","669.6","2200","3.9",".8","","CONV","","011",""
"100131108117W600","","","","00004","00","19500112","669.6","671.1","2200","1.5",".8","","CONV","","012",""
"100131108117W600","","","","00004","00","19500112","671.1","671.7","2200",".6",".6","","CONV","","013",""
"100131108117W600","","","","00004","00","19500112","671.1","672.4","2200","1.2","1","pipe correction of 2's made at 2202","CONV","","014",""
"100131108117W600","","","","00004","00","19500112","749.2","749.8","2400",".6",".4","","CONV","","015",""
"100131108117W600","","","","00004","00","19500112","749.8","751.6","2400","1.8","1.8","","CONV","","016",""
"100131108117W600","","","","00004","00","19500112","751.6","753.4","2400","1.8","1.5","","CONV","","017",""
"100131108117W600","","","","00004","00","19500112","753.4","754.6","2400","1.2","1.2","","CONV","","018",""
"100131108117W600","","","","00004","00","19500112","754.6","755.9","2400","1.2","1.2","","CONV","","019",""
"100131108117W600","","","","00004","00","19500112","755.9","757.7","2400","1.8","1.5","","CONV","","020",""
"100131108117W600","","","","00004","00","19500112","757.7","759.8","2400","2.1","2.1","","CONV","","021",""
"100131108117W600","","","","00004","00","19500112","760.1","761.7","2400","1.5","1.3","","CONV","","022",""
"100131108117W600","","","","00004","00","19500112","761.7","763.2","2400","1.5","1.5","","CONV","","023",""
"100131108117W600","","","","00004","00","19500112","763.2","764.7","2400","1.5","1.5","","CONV","","024",""
"100131108117W600","","","","00004","00","19500112","764.7","766.2","2400","1.5","1.3","","CONV","","025",""
"100131108117W600","","","","00004","00","19500112","766.2","767.8","2400","1.5","1.5","","CONV","","026",""
"100131108117W600","","","","00004","00","19500112","767.8","769","2400","1.2","1.2","","CONV","","027",""
"100131108117W600","","","","00004","00","19500112","769","769.3","2400",".3",".3","","CONV","","028",""
"100131108117W600","","","","00004","00","19500112","1050","1081.1","2700",".6",".4","","CONV","","034",""
"100131108117W600","","","","00004","00","19500112","1075.3","1075.9","2700",".6",".6","","CONV","","029",""
"100131108117W600","","","","00004","00","19500112","1075.9","1077.4","2700","1.5","1","","CONV","","030",""
"100131108117W600","","","","00004","00","19500112","1077.4","1078.6","2700","1.2",".7","","CONV","","031",""
"100131108117W600","","","","00004","00","19500112","1078.6","1079.5","2700",".9",".7","","CONV","","032",""
"100131108117W600","","","","00004","00","19500112","1079.5","1080.5","2700",".9",".7","","CONV","","033",""
"100131108117W600","","","","00004","00","19500112","1081.1","1081.4","2700",".3",".3","","CONV","","035",""
"100131108117W600","","","","00004","00","19500112","1081.4","1082","2700",".6",".4","","CONV","","036",""
"100131108117W600","","","","00004","00","19500112","1082","1083.2","2700","1.2","1.1","","CONV","","037",""
"100131108117W600","","","","00004","00","19500112","1226.5","1228","2850","1.5","1.1","","CONV","","038",""
"100131108117W600","","","","00004","00","19500112","1228","1229.5","2850","1.5",".7","","CONV","","039",""
"100131108117W600","","","","00004","00","19500112","1229.5","1230.1","2850",".6",".4","","CONV","","040",""
"100131108117W600","","","","00004","00","19500112","1230.1","1231.6","2850","1.5",".6","","CONV","","041",""
"100131108117W600","","","","00004","00","19500112","1231.6","1232.2","2850",".6",".6","","CONV","","042",""
"100131108117W600","","","","00004","00","19500112","1412.7","1413.3","2950",".6",".6","","CONV","","043",""
"100131108117W600","","","","00004","00","19500112","1459.3","1459.9","3200",".6",".4","","CONV","","044",""
"100131108117W600","","","","00004","00","19500112","1459.9","1460.8","3200",".9",".6","","CONV","","045",""
"100131108117W600","","","","00004","00","19500112","1460.8","1462.1","3200","1.2","1.2","","CONV","","046",""
"100131108117W600","","","","00004","00","19500112","1462.1","1463.6","3200","1.5","1.4","","CONV","","047",""
"100131108117W600","","","","00004","00","19500112","1463.6","1464.8","3200","1.2","1.2","","CONV","","048",""
"100131108117W600","","","","00004","00","19500112","1464.8","1466","3200","1.2","1.2","","CONV","","049",""
"100131108117W600","","","","00004","00","19500112","1477.9","1478.5","4040",".6",".6","","CONV","","050",""
"100131108117W600","","","","00004","00","19500112","1792.4","1794","4500","1.5","1.1","","CONV","","051",""
"100131108117W600","","","","00004","00","19500112","1794","1794.6","4500",".6","0","","CONV","","052",""
"100131108117W600","","","","00004","00","19500112","1794.6","1795.5","4500",".9",".8","","CONV","","053",""
