"DST_RATE FILE"
"Wa_num","Drillng_event_seq","Dst_num","Flowing_fluid_type","Init_fluid_rate","Avg_fluid_rate","Final_fluid_rate"
"00004","00","021","GAS","12.96","0","0"
"00004","00","024","GAS","1.127","0","0"
"00014","00","004","GAS","9.157","0","0"
"00014","00","005","GAS","4.93","0","0"
"00015","00","004","GAS","0","0","36.626"
"00015","00","005","GAS","0","0","40.148"
"00015","00","006","GAS","0","0",".845"
"00015","00","008","GAS","0","0",".845"
"00015","00","009","GAS","0","0","1.409"
"00017","00","007","GAS","2.536","0","0"
"00017","00","008","GAS","2.536","0","0"
"00017","00","009","GAS",".702","0","0"
"00017","00","010","GAS","1.409","0","0"
"00017","00","011","GAS","11.27","0","0"
"00017","00","012","GAS","14.087","0","0"
"00017","00","014","GAS","2.11","0","0"
"00017","00","015","GAS","32.964","0","0"
"00020","00","005","GAS","1.521","0","0"
"00020","00","007","GAS","1.747","0","0"
"00020","00","008","GAS","13.524","0","4.93"
"00020","00","012","GAS",".563","0",".141"
"00021","00","005","GAS","5.24","0","0"
"00022","00","007","GAS","1.972","0","1.434"
"00022","00","009","GAS","3.944","0","5.635"
"00022","00","012","GAS","0","0",".873"
"00022","00","013","GAS",".563","0",".563"
"00022","00","021","GAS","2.817","0",".282"
"00027","00","001","GAS","0","10.168","0"
"00027","00","003","GAS","23.215","0","26.484"
"00029","00","011","GAS","0","24.652","0"
"00029","00","016","GAS","0","0","225.392"
"00029","00","022","GAS","0","172.735","0"
"00029","00","023","GAS","0","0","281.74"
"00031","00","016","GAS","5.519","0","23.892"
"00031","00","017","GAS","28.174","0","50.713"
"00031","00","020","GAS","0","0","169.044"
"00031","00","025","GAS","8.452","0","3.522"
"00032","00","002","GAS","19.722","0","0"
"00032","00","003","GAS","18.877","0","2.817"
"00032","00","009","GAS","0","0","15.127"
"00032","00","010","GAS","0","0","24.145"
"00032","00","011","GAS","0","0","96.919"
"00032","00","012","GAS","33.527","0","0"
"00032","00","013","GAS","6.029","0","6.762"
"00032","00","014","GAS","5.635","0","0"
"00032","00","015","GAS","3.944","0","0"
"00032","00","016","GAS","15.355","0","0"
"00032","00","017","GAS","3.099","0","0"
"00033","00","002","GAS","3.155","0","0"
"00033","00","006","GAS","281.74","0","0"
"00033","00","008","GAS","4.282","0","0"
"00034","00","004","GAS","16.394","0","21.469"
"00034","00","005","GAS","6.17","0","9.943"
"00034","00","012","GAS","28.174","0","0"
"00034","00","013","GAS","0","0","42.261"
"00035","00","006","GAS","6.142","6.142","6.142"
"00035","00","014","GAS","23.215","0","0"
"00035","00","015","GAS","3.916","0","0"
"00035","00","020","GAS","6.818","0","0"
"00035","00","021","GAS","3.155","0","0"
"00035","00","022","GAS","33.947","0","0"
"00035","00","023","GAS","4.899","0","0"
"00039","00","015","GAS","17.468","0","0"
"00039","00","019","GAS","8.17","0","1.69"
"00042","00","015","GAS","0","0","179.412"
"00044","00","006","GAS","2.479","0","1.747"
"00045","00","004","GAS","67.618","0","0"
"00045","00","005","GAS","126.783","0","0"
"00045","00","006","GAS","138.053","0","0"
"00045","00","007","GAS","107.061","0","0"
"00047","00","009","GAS","3.913","0","0"
"00047","00","013","GAS","20.68","0","0"
"00048","00","004","GAS","6.029","0","0"
"00048","00","005","GAS","1.747","0","0"
"00048","00","013","GAS","11.608","0","0"
"00049","00","007","GAS","2.902","0","0"
"00052","00","003","GAS","27.385","0","0"
"00052","00","011","GAS","8.872","0","5.322"
"00052","00","012","GAS","15.806","0","7.604"
"00052","00","015","GAS","69.731","0","58.123"
"00052","00","016","GAS","38.429","0","38.429"
"00054","00","002","GAS","1.859","0","0"
"00054","00","009","GAS","2.479","0","0"
"00056","00","007","GAS","7.604","0","0"
"00056","00","008","GAS","1.828","0","0"
"00057","00","009","GAS","5.691","28.174","0"
"00057","00","017","GAS","2.902","0","0"
"00058","00","001","GAS","281.74","0","0"
"00058","00","002","GAS","211.305","0","0"
"00058","00","004","GAS","57.162","0","0"
"00058","00","010","GAS","36.344","0","0"
"00058","00","012","GAS","54.319","0","0"
"00058","00","014","GAS","27.413","0","0"
"00058","00","015","GAS","21.553","0","0"
"00058","00","016","GAS","307.096","0","0"
"00058","00","020","GAS",".648","0","11.72"
"00058","00","021","GAS","7.41","0","37.469"
"00058","00","025","GAS","41.979","0","0"
"00060","00","017","GAS","0","0","61.56"
"00061","00","007","","","",""
"00061","00","008","GAS","14.087","0","0"
"00061","00","009","GAS","11.974","0","0"
"00061","00","010","GAS","16.904","0","0"
"00061","00","013","GAS","90.157","0","0"
"00061","00","014","GAS","101.426","0","0"
"00061","00","021","GAS","5.635","0","0"
"00061","00","027","GAS","5.635","0","0"
"00061","00","033","GAS","98.609","0","0"
"00062","00","006","GAS","1.747","0","0"
"00062","00","007","GAS","54.376","0","0"
"00062","00","008","GAS","16.451","0","2.479"
"00063","00","009","GAS","0","0","11.805"
"00065","00","004","GAS","70.435","0","0"
"00066","00","002","GAS","0","0","23.215"
"00066","00","003","GAS","0","0","7.325"
"00066","00","007","GAS","0","0","2.479"
"00066","00","017","GAS","0","0","10.058"
"00066","00","020","GAS","0","0","1.747"
"00070","00","003","GAS","6.424","0","0"
"00070","00","004","GAS","84.522","0","0"
"00070","00","007","GAS","5.635","0","0"
"00071","00","003","GAS","0","0","14.087"
"00071","00","006","GAS","0","0","1.24"
"00071","00","009","GAS","0","0",".169"
"00071","00","010","GAS","24.652","0","45.078"
"00074","00","007","GAS","64.659","0","74.715"
"00074","00","013","GAS","4.93","0","0"
"00074","00","015","GAS","75.45","0","179.412"
"00078","00","001","GAS","0","0","2.817"
"00078","00","004","GAS","0","0","2.758"
"00081","00","007","GAS","0","0","3.353"
"00081","00","012","GAS","0","0","6.057"
"00081","00","013","GAS","0","0","3.353"
"00082","00","004","GAS","0","0","56.235"
"00085","00","009","GAS","0","0","74.661"
"00086","00","005","GAS","3.913","0","0"
"00086","00","008","GAS","74.098","0","0"
"00086","00","009","GAS","60.011","0","0"
"00090","00","011","GAS","5.071","0","1.352"
"00090","00","012","GAS","0","0","3.55"
