"F_DESIGN FILE"
"Fac Id Code","Capcty Vol","Gas Outlet Vol","C3 Capcty Vol","C4 Capcty Vol","C5 Plus Capcty Vol","Sulphr Capcty Vol","Sulphr Emssn Vol","Sulphr Recvry Effcncy","Lpg Mix Capcty Vol","Comments"
"00000160","70440","","","","805","","","0","265","Plant expansion 1989 and 1993                                                                                                                                                                                                                                                                               "
"00000205","42500","41500","","","900","","","0","",""
"00000298","4270","4230","","","102","","","0","",""
"00000303","2560","2250","","","","","","","",""
"00000317","","","","","","","","0","",""
"00000322","28900","28300","","","","3","3","","",""
"00000437","264300","225200","","","","6740","336","950","",""
"00000438","1700","1660","","","","6","6","0","",""
"00000439","192600","175600","1950","3300","10550","5590","89","984","","Plant modified in 1991                                                                                                                                                                                                                                                                                      "
"00000440","2830","2550","","","40","60","57","0","",""
"00000442","158640","124930","","","","20000","800","996","","Plat expanded 1994                                                                                                                                                                                                                                                                                          "
"00000443","","","","","","","","0","","us                                                                                                                                                                                                                                                                                                          "
"00000445","3120","2340","","","","10","10","0","1200","estimated rates                                                                                                                                                                                                                                                                                             "
"00000464","12750","12560","","","","141","7","950","",""
"00000465","5630","5570","","","","","","0","530",""
"00000558","28320","28250","","","","3","3","","",""
"00000559","23200","22050","","","","3","3","0","3450","Plant expansion 1989                                                                                                                                                                                                                                                                                        "
"00000730","12960","12680","","","913","37","11","700","","Target Sulphur recovery is 90-95 %                                                                                                                                                                                                                                                                          "
"00000740","29580","26620","","","2240","","","","1290","expansion approved Jan 16, 1998 and subsequently scalled back by Can hunter Feb 3, 1998. Shrinkage quoted as 10%                                                                                                                                                                                            "
"00000932","203000","181200","16810","7790","2700","0","","","","Data from S116 P&NG Act application Nov 1996. C2 recovery will be 2600 m3/d. See ARCS file 59310-20/35                                                                                                                                                                                                      "
"00000970","","","","","","","","0","",""
"00001242","","","","","","","","0","",""
"00001243","","","","","","","","0","",""
"00001279","3960","3910","","","102","5","5","0","","Modification to increase capacity approved (1994/08/04)                                                                                                                                                                                                                                                     "
"00001593","","","","","","","","0","",""
"00001692","","","","","","","","0","",""
"00002153","25440","25360","","","156","","","","",""
"00002267","22000","20000","","","800","","","0","2330","ACID GAS REINJECTION 90-114 E3M3/D                                                                                                                                                                                                                                                                          "
"00002268","","","","","","","","0","",""
"00002411","11300","10500","450","","470","9","","","700","Acid gas recovered and injected into a nearby well 69 e3m3/d from P&NG s116 application tab 4  Oct 22, 1996                                                                                                                                                                                                 "
"00002435","22650","20390","","","","670","","","2130","Data from EA Application page 18  Oct 18, 1996  - acid gas injection eliminates sulphur emissions (14 E3M3/D acid gas reinjection)                                                                                                                                                                          "
"00002436","31000","29450","1490","1370","1540","","19","","","Data from S116 P&NG application Dec 18, 1996                                                                                                                                                                                                                                                                "
"00002889","14150","13490","","","1350","0","","","",""
"00007442","23210","23210","","","","","","","","Blair Creek Facility expanded to 2321 e3m3/d. Approval date January 19, 2012. Job #8845742"
"00007778","38680","","299","397","1209","0","","","","The plant has a 3868 capacity, while the adjacent compressor/dehy facility (also code 7778) has an additional 5080 capacity."
"00007812","226260","199000","","","","","","0","",""
"00007819","21400","20360","322","378","2130","0","","","",""
"00007834","14160","13460","386","939","740","","","","",""
"00007837","46150","46150","","","","","","","",""
"00007868","56000","","","","2275","0","","","",""
"00007883","10000","9640","","","756","0","","","1180",""
"00007896","56070","","","","","","","","",""
"00008508","17000","16500","","","437","","","","",""
"00009075","7000","5660","204","419","620","0","","","",""
