"F_FLARING_APP FILE"
"Fac Id Code","Apprvd Flarng Vol","Actual Flarng Vol","Actual Flarng Date","Apprvd Flarng Date"
"00000002","400","","","20081029"
"00000002","400","","","20071010"
"00000002","800","","","20070131"
"00000002","1000","","","20060828"
"00000002","200","","","20050930"
"00000002","900","","","20050917"
"00000002","320","","","20030508"
"00000002","450","","","20021115"
"00000002","2500","","","20021016"
"00000002","20","","","20020808"
"00000003","1660","","","20080611"
"00000003","1050","","","20070927"
"00000003","4830","","","20050509"
"00000003","690","","","20030930"
"00000003","1400","","","20030409"
"00000003","600","","","20021213"
"00000003","3000","","","20020729"
"00000003","400","","","20011218"
"00000003","170","","","20010606"
"00000003","3900","","","19990721"
"00000003","3000","","","19980522"
"00000003","3000","","","19970910"
"00000003","300","","","19970609"
"00000003","5440","","","19961221"
"00000003","2100","","","19960815"
"00000003","2100","","","19960423"
"00000003","3060","","","19951016"
"00000003","1550","","","19950804"
"00000006","1620","","","20050607"
"00000008","2380","","","20050408"
"00000008","490","","","20030428"
"00000008","500","","","20030203"
"00000008","2250","","","20020710"
"00000010","600","","","20060427"
"00000010","100","","","20060424"
"00000010","300","","","20060404"
"00000010","400","","","20050907"
"00000010","1530","","","20050617"
"00000010","500","","","20050310"
"00000010","100","","","20031203"
"00000010","50","","","20030925"
"00000010","700","","","20020710"
"00000010","1400","","","20010923"
"00000010","20","","","20010213"
"00000010","9056","","","19941118"
"00000013","40","","","20090123"
"00000013","120","","","20080612"
"00000013","1615","","","20050621"
"00000013","900","","","20021107"
"00000013","2320","","","20020716"
"00000013","900","","","20020712"
"00000013","440","","","19980520"
"00000013","1050","","","19960813"
"00000019","900","","","20040203"
"00000020","5000","","","20060828"
"00000020","1430","","","20031202"
"00000020","2000","","","20020614"
"00000021","900","","","20050607"
"00000021","1000","","","20020404"
"00000023","1800","","","20021119"
"00000024","10","","","20040927"
"00000024","100","","","20030902"
"00000024","100","","","20030827"
"00000024","100","","","20030826"
"00000025","563","","","20001117"
"00000025","4300","","","19961104"
"00000026","160","","","20080118"
"00000026","30","","","20071219"
"00000026","280","","","20040217"
"00000026","560","","","20011227"
"00000026","240","","","20010621"
"00000029","1200","","","19990915"
"00000031","8460","","","19961210"
"00000038","100","","","20080129"
"00000038","50","","","20080125"
"00000046","40","","","20110819"
"00000046","29","","","20091204"
"00000046","29","","","20090604"
"00000046","580","","","20080603"
"00000046","300","","","20080525"
"00000046","10","","","20060901"
"00000046","7140","","","20050916"
"00000046","333","","","20010115"
"00000046","316","","","19961219"
"00000046","117","","","19961113"
"00000046","318","","","19961112"
"00000047","117","","","20100712"
"00000047","109","","","20100505"
"00000047","612","","","20090525"
"00000047","1400","","","20040413"
"00000047","225","","","20030904"
"00000047","100","","","20030829"
"00000051","800","","","20040303"
"00000051","600","","","20040216"
"00000051","1500","","","20001114"
"00000051","2100","","","20001012"
"00000051","1200","","","20000908"
"00000051","800","","","19991217"
"00000051","2800","","","19990219"
"00000051","2100","","","19980624"
"00000051","100","","","19980313"
"00000051","4000","","","19970127"
"00000051","2500","","","19960625"
"00000053","1000","","","20020225"
"00000058","10500","","","20070123"
"00000058","1500","","","20060314"
"00000059","300","","","20050209"
"00000060","260","","","20050408"
"00000060","500","","","20030820"
"00000060","560","","","20030428"
"00000060","300","","","20020710"
"00000060","360","","","19940708"
"00000062","280","","","20051213"
"00000062","100","","","20040630"
"00000074","160","","","20080407"
"00000074","100","","","20060912"
"00000075","35","","","20010612"
"00000078","400","","","20070809"
"00000080","1500","","","20050619"
"00000080","1500","","","20050617"
"00000080","1500","","","20050616"
"00000085","1260","","","19960813"
"00000092","1000","","","20060105"
"00000097","400","","","20040616"
"00000098","200","","","20071121"
"00000098","150","","","20051205"
