"F_OPERATOR FILE"
"Fac Id Code","Oper Id","Fac Oper Eff Period","Fac Oper Term Period"
"00000001","00056","200004","201101"
"00000001","00057","201101","201601"
"00000001","00759","198912","200004"
"00000001","00802","201601",""
"00000002","00769","197503","201310"
"00000002","00988","201310","201712"
"00000002","01018","201712",""
"00000003","00045","197306","201203"
"00000003","00237","201203",""
"00000004","00233","200507","201001"
"00000004","00237","201210",""
"00000004","00270","198904","198905"
"00000004","00665","198905","200507"
"00000004","08193","201001","201210"
"00000005","00020","198904","201011"
"00000005","00642","201708","202009"
"00000005","01008","202009",""
"00000005","08203","201011","201708"
"00000006","00237","200602",""
"00000007","00085","198904","201012"
"00000007","00237","201012",""
"00000008","00013","199609","200207"
"00000008","00117","198904","199609"
"00000008","00639","200207","200211"
"00000008","00691","200211","201212"
"00000008","00691","201212","201811"
"00000008","00691","201811",""
"00000008","00696","200211","200211"
"00000008","00706","201212","201212"
"00000009","00819","201706","202006"
"00000009","02011","202006",""
"00000009","08203","201205","201706"
"00000010","00639","201102","202002"
"00000010","00682","200909","201102"
"00000010","07888","198910","200909"
"00000010","11048","202002","202009"
"00000010","11075","202009",""
"00000011","00237","201005",""
"00000012","00237","201109",""
"00000012","00280","198904","200205"
"00000012","08163","200205","201109"
"00000013","00237","200309",""
"00000014","00237","199302",""
"00000014","00551","198904","199302"
"00000015","00237","199302",""
"00000015","00551","198904","199302"
"00000016","00237","199201",""
"00000017","00257","198904","199310"
"00000017","00364","201809","202108"
"00000017","00530","202108",""
"00000017","00577","199310","201809"
"00000018","00013","199304","200207"
"00000018","00609","200207","200212"
"00000018","00639","200212","202002"
"00000018","11048","202002","202009"
"00000018","11075","202009",""
"00000019","00639","201101","202002"
"00000019","07230","200511","201101"
"00000019","11048","202002","202009"
"00000019","11075","202009",""
"00000020","00639","201101","202002"
"00000020","07230","200612","201101"
"00000020","11048","202002","202009"
"00000020","11075","202009",""
"00000021","00013","198005","200212"
"00000021","00639","201101","202002"
"00000021","07230","200212","201101"
"00000021","11048","202002","202009"
"00000021","11075","202009",""
"00000022","00010","201102","202001"
"00000022","00013","199304","201102"
"00000022","00237","202001",""
"00000023","00013","199304","200105"
"00000023","00237","200105",""
"00000024","00819","201706","202006"
"00000024","02011","202006",""
"00000024","08203","199008","201706"
"00000025","00266","198904","200011"
"00000025","00487","200011","202001"
"00000025","02011","202001",""
"00000026","00325","201312","201808"
"00000026","00555","200805","200808"
"00000026","02011","201808",""
"00000026","07225","199601","200805"
"00000026","08021","200808","201307"
"00000026","08087","201307","201312"
"00000027","00304","200003","201201"
"00000027","00665","199112","200003"
"00000027","00957","201201","201405"
"00000027","00998","201405","201912"
"00000027","02011","201912",""
"00000028","00013","200110","200207"
"00000028","00226","199011","200110"
"00000028","00639","200207","202002"
"00000028","11048","202002","202009"
"00000028","11075","202009",""
"00000029","00114","199612","199908"
"00000029","00237","199908",""
"00000029","00302","198904","199601"
"00000029","00677","199601","199612"
"00000030","00114","199612","201011"
"00000030","00117","201011","202001"
"00000030","00237","202001",""
"00000030","00302","198904","199601"
"00000030","00677","199601","199612"
"00000031","00114","199608","199908"
"00000031","00237","199908",""
"00000031","00302","198904","199601"
"00000031","00677","199601","199608"
"00000032","00639","201101","202002"
"00000032","07230","200801","201101"
"00000032","11048","202002","202009"
"00000032","11075","202009",""
"00000033","00099","199606","200701"
"00000033","00237","200701",""
"00000033","00313","198904","199606"
"00000034","00012","199303","201910"
"00000034","00237","201910",""
"00000035","00012","199303","201910"
"00000035","00237","201910",""
"00000036","00005","198904","199211"
"00000036","00237","201203",""
"00000036","00301","199510","201203"
"00000036","00333","199211","199510"
"00000037","00428","202111",""
"00000037","00606","200907","202111"
"00000037","00664","196606","200907"
"00000038","00428","202111",""
"00000038","00606","200907","202111"
"00000038","00664","200405","200907"
"00000039","00005","198904","199005"
"00000039","00045","199005","199610"
"00000039","00428","202111",""
"00000039","00606","200907","202111"
"00000039","00664","199610","200907"
"00000040","00237","200407",""
"00000041","00237","199205",""
"00000042","00237","199205",""
"00000043","00330","198904","201304"
"00000043","00341","201304","201305"
"00000043","02011","201305",""
"00000044","00565","198904","202001"
"00000044","00802","202001",""
"00000045","00117","200302","201101"
"00000045","00244","199705","200302"
"00000045","00327","198904","199705"
"00000045","00369","201101","201505"
"00000045","01111","201505",""
"00000046","00850","200407","201407"
"00000046","01111","201407",""
"00000047","00543","200007","200303"
"00000047","00606","200711","201201"
"00000047","00891","201201","201211"
"00000047","00978","201406","202202"
"00000047","07012","200303","200711"
"00000047","08156","201211","201406"
"00000047","11125","202202",""
"00000048","00013","199704","200207"
"00000048","00553","199306","199704"
"00000048","00639","200207","202002"
"00000048","00880","198904","199306"
"00000048","11048","202002","202009"
"00000048","11075","202009",""
"00000049","00850","201205","201407"
"00000049","01111","201407",""
"00000049","09850","199101","201205"
"00000050","00262","199201","201012"
"00000050","00606","201012","202003"
"00000050","11048","202003","202009"
"00000050","11075","202009",""
"00000051","00237","200711",""
"00000051","00260","198807","200711"
"00000052","00606","201011","202003"
"00000052","00879","198904","201011"
"00000052","11048","202003","202009"
"00000052","11075","202009",""
"00000053","00493","198904","200111"
"00000053","00682","200111","201102"
"00000053","00794","201102","201704"
"00000053","02011","201704",""
"00000054","00237","200703",""
"00000055","00367","198904","201712"
"00000055","00440","201712","201912"
"00000055","00819","201912","202006"
"00000055","02011","202006",""
"00000056","00208","201612",""
"00000056","00794","200108","201612"
"00000056","09033","199012","200108"
"00000057","00352","200212","200705"
"00000057","00416","198904","200212"
"00000057","00639","200705","202002"
"00000057","11048","202002","202009"
"00000057","11075","202009",""
"00000058","00416","198904","199411"
"00000058","00477","199411",""
"00000059","00099","200102","200402"
"00000059","00237","200501",""
"00000059","00260","200402","200501"
"00000059","08102","198904","200102"
"00000060","00013","199304","200207"
"00000060","00639","200207","200211"
"00000060","00691","200211","201212"
"00000060","00691","201212","201811"
"00000060","00691","201811",""
"00000060","00696","200211","200211"
"00000060","00706","201212","201212"
"00000061","00013","199304","200207"
"00000061","00639","200207","200211"
"00000061","00639","200501","202002"
"00000061","00696","200211","200501"
"00000061","11048","202002","202009"
"00000061","11075","202009",""
"00000062","00114","199305","199908"
"00000062","00237","199908",""
"00000063","00369","201910",""
"00000063","00483","198904","201910"
"00000064","00682","198904","200502"
"00000064","00794","200502","201704"
"00000064","02011","201704",""
"00000065","00237","201109",""
"00000065","08163","198901","201109"
"00000066","00237","201910",""
"00000066","00301","199510","201910"
"00000066","00333","199209","199510"
"00000066","00534","198904","199209"
"00000067","00099","200110","200501"
"00000067","00237","200501",""
"00000067","00301","199510","200110"
"00000067","00333","199209","199510"
"00000067","00534","198904","199209"
"00000068","00099","199801","200402"
"00000068","00237","200501",""
"00000068","00260","200402","200501"
"00000068","00301","199510","199801"
"00000068","00333","199209","199510"
"00000068","00534","198904","199209"
"00000069","00551","198904",""
"00000070","00551","198904",""
"00000071","00551","198904",""
"00000072","00349","200611","200707"
"00000072","00558","198904","199606"
"00000072","00575","199606","200611"
"00000072","00819","201706","202006"
"00000072","02011","202006",""
"00000072","08203","200707","201706"
"00000073","00558","198904","199801"
"00000073","00710","201012","201911"
"00000073","00819","201911","202006"
"00000073","00914","199801","201012"
"00000073","02011","202006",""
"00000074","00237","201605",""
"00000074","00349","200302","200707"
"00000074","00558","198904","199710"
"00000074","00575","199710","200302"
"00000074","08203","200707","201605"
"00000075","00065","201611",""
"00000075","07969","197803","201110"
"00000075","08188","201110","201611"
"00000076","00187","201503",""
"00000076","00558","198904","199710"
"00000076","08188","199710","201503"
"00000077","00065","201611",""
"00000077","07969","198301","201110"
"00000077","08188","201110","201611"
"00000078","00237","200811",""
"00000078","00565","199704","200811"
"00000079","00565","198904","202112"
"00000079","02011","202112",""
"00000080","00565","198611","201009"
"00000080","00746","201009","201302"
"00000080","00802","201811",""
"00000080","00978","201302","201811"
"00000081","00565","198904","200204"
"00000081","00746","200204","201302"
"00000081","00802","201811",""
"00000081","00978","201302","201811"
"00000082","00565","198904",""
"00000083","00013","199704","200207"
"00000083","00553","199306","199704"
"00000083","00639","200207","202002"
"00000083","00760","199011","199306"
"00000083","11048","202002","202009"
"00000083","11075","202009",""
"00000084","00237","201503",""
"00000084","00440","199401","201503"
"00000084","00720","198904","199401"
"00000085","00237","199411",""
"00000085","00567","198904","199411"
"00000086","00600","199110","201012"
"00000086","07037","201012",""
"00000087","00237","199301",""
"00000087","00880","199210","199301"
"00000088","00237","199202",""
"00000089","00615","198904",""
"00000090","00634","198904","201910"
"00000090","02011","201910",""
"00000091","00010","202001","202006"
"00000091","00010","202001","202001"
"00000091","00237","202006",""
"00000091","00627","198904","202001"
"00000092","00237","201111",""
"00000092","00627","198904","201111"
"00000093","00237","201111",""
"00000093","00627","198904","201111"
"00000094","00736","199105",""
"00000095","00127","201604","202002"
"00000095","00237","202002",""
"00000095","00471","199207","201012"
"00000095","08163","201012","201604"
"00000096","00237","201910",""
"00000096","00440","199702","201910"
"00000096","00603","198904","199510"
"00000096","00862","199510","199702"
"00000097","00642","201708","201909"
"00000097","00648","198904","200912"
"00000097","00769","200912","201202"
"00000097","00819","201909",""
"00000097","08203","201202","201708"
"00000098","00237","199201",""
"00000099","00648","198904","200912"
"00000099","00769","200912",""
"00000100","00648","198904","200912"
"00000100","00769","200912",""
