"FACILITY PROCESSING FILE"
"Fac Id Code","Fac Procssng Type","Fac Proc Eff Period","Fac Proc Term Period"
"00000160","FRAC","198701",""
"00000160","RFRG","198701",""
"00000205","ADS ","199001",""
"00000205","STAB","199001",""
"00000298","ABS ","198701",""
"00000298","STAB","198701",""
"00000303","ABS ","198904",""
"00000303","DEA ","198904",""
"00000322","ABS ","198904",""
"00000322","DEA ","198904",""
"00000437","ADS ","196601",""
"00000437","MEA ","196601",""
"00000437","MODC","196601",""
"00000437","SLFR","196601",""
"00000438","ABS ","198801",""
"00000438","MDEA","198801",""
"00000439","ABS ","195601",""
"00000439","ADS ","195601",""
"00000439","FRAC","195601",""
"00000439","MEA ","195601",""
"00000439","MODC","195601",""
"00000439","RFRG","195601",""
"00000439","SLFR","195601",""
"00000440","ADS ","196101",""
"00000440","MEA ","196101",""
"00000442","ADS ","198904",""
"00000442","MCRC","198904",""
"00000442","SULF","198904",""
"00000445","ABS ","196401",""
"00000445","FLEX","196401",""
"00000445","RFRG","196401",""
"00000464","ABS ","198901",""
"00000464","MEA ","198901",""
"00000464","MODC","198901",""
"00000465","ABS ","198901",""
"00000465","STAB","198901",""
"00000558","ABS ","198911",""
"00000558","MDEA","198911",""
"00000559","MDEA","198701",""
"00000559","RFRG","198701",""
"00000730","ABS ","199101",""
"00000730","MDEA","199101",""
"00000730","MODC","199101",""
"00000730","STAB","199101",""
"00000740","RFRG","199110",""
"00000932","RFG ","198508",""
"00000932","TRBX","198508",""
"00001279","MDEA","199403",""
"00001279","RFRG","199403",""
"00002153","MOLE","199605",""
"00002267","MDEA","199605",""
"00002411","RFRG","199701",""
"00002435","AMIN","199702",""
"00002435","RFRG","199702",""
"00002436","AMIN","199702",""
"00002436","RFRG","199702",""
"00007812","AMIN","201003",""
"00007812","STAB","201003",""
