"F_TYPE FILE"
"Code","Description"
"B","Battery Site"
"B2","Processing Battery"
"CD","Compressor Dehydrator"
"CS","Compressor Station"
"DS","Disposal Station"
"GD","Gas Dehydrator"
"GP","Gas Plant"
"IS","Injection Station"
"LNG","LNG Facility"
"OM","Oil Sales Meter"
"OTH","Other Facilities"
"PDE","Pad (Shared) Equipment"
"PE","Pipeline Equipment"
"PG","Pipeline Gathering"
"PL","GAS PLANT"
"PT","Pipeline Terminal"
"SB","Satellite Battery"
"SM","Gas Sales Meter"
"TF","Test Facility"
"TT","Tank Terminal"
"WH","Water Hub"
