"FACILITIES FILE"
"Fac Id Code","Fac Name","Surf Twp","Surf Range","Surf Sect","Surf Lsd","Surf Map","Surf Block","Surf Unit","Surf Qtr Unit","Applctn Date","Apprvl Date","Ops Eff Date","Ops Term Date","Amend Applctn Date","Amend Apprvl Date","Amend Ops Eff Date","Amend Ops Term Date","Plant Jursdctn Code","Comprssr kW","Remarks","Fac Class Code","Main Fields Served"
"00000001","ENERCAPITA BOUNDARYLAKE 16-12-084-14 001","084","14","12","16","","","","","","19890401","19890401","","","","","","","0","","B","BOUNDARY LAKE"
"00000002","CANLIN BOUNDARYLAKE 08-23-085-14 002","085","14","23","08","","","","","19750310","19750310","19890401","","20110819","20111003","20020802","","","116","","B","BOUNDARY LAKE"
"00000003","CNRL INGA 03-31-086-23 001","086","23","31","03","","","","","19730628","19730628","19890401","20171021","20170929","20171016","20100323","20171021","","1379","","B2","INGA"
"00000004","CNRL INGA 03-31-086-23 002","086","23","31","03","","","","","20200220","19890401","19890401","20200220","","20200227","","","","0","","TT","INGA"
"00000005","LEUCROTTA TWORIVERS 07-02-083-16 001","083","16","02","07","","","","","","19890401","19890401","19901228","","","","","","0","","B","TWO RIVERS"
"00000006","CNRL GOPHER 11-30-084-16 001","084","16","30","11","","","","","20060213","20060213","19890401","","20110915","20111026","","","","0","","B","GOPHER"
"00000007","CNRL FLATROCK 15-30-084-16 001","084","16","30","15","","","","","","19890401","19890401","19911101","","","","","","0","","B","FLATROCK"
"00000008","PETRONAS STODDART 06-29-085-19 001","085","19","29","06","","","","","","19890401","19890401","","","","","","","0","","B","STODDART"
"00000009","ORPHAN STODDART 06-14-086-20 001","086","20","14","06","","","","","20120405","20120524","19890401","20210714","20220328","20220328","","","","0","","B","STODDART"
"00000010","STRATHCONA BEATTONRIVER B-038-J/094-H-02 003","","","","","094-H-02","J","038","B","19891010","19891010","19890401","","20081003","20081007","20080328","","","300","","B2","BEATTON RIVER"
"00000011","CNRL BEATTONRIVER D-048-K/094-H-02 002","","","","","094-H-02","K","048","D","20100129","20100520","19890401","","20100812","20100901","","","","0","","B2","BEATTON RIVER"
"00000012","CNRL SQUIRREL 10-19-087-19 001","087","19","19","10","","","","","20210805","19890401","19890401","20210805","","20210823","","","","0","","B","SQUIRREL"
"00000013","CNRL INGA 06-19-088-23 005","088","23","19","06","","","","","20030917","20030917","19890401","","20170929","20171016","20120305","","","298","","B2","INGA"
"00000014","CNRL INGA C-016-J/094-A-12 001","","","","","094-A-12","J","016","C","20180122","19890401","19890401","20180122","","20180123","","","","0","","B","INGA"
"00000015","CNRL INGA 06-33-087-23 001","087","23","33","06","","","","","20180412","19890401","19890401","","","20180413","","","","0","","B","INGA"
