"OIL_ANAL FILE"
"UWI","Area_code","Formtn_code","Pool_seq","Wa_num","Drillng_event_seq","Oil_lab_num","Sample_point_code","Test_Perf_Flag","Oil_anlyss_base_depth (m)","Oil_anlyss_top_depth (m)","Sample_date","Bsw_total","Reltv_densty (kg/m3)","Abslt_oil_densty (kg/m3)","Api_gravty","Tot_sulphr_mass_fractn","Pour_point_usb_m (C)","Distlltn_crackd (C)","Naphtha_fractn_200C","Kersn_fractn_275C","Light_gas_oil_fractn_350C","Charctrzed_factor","Invert_mud_sample","Oil_anlyss_comments","Pour_point_astm (C)","Press_recvd (kPa)","Temp_recvd (C)","Distlltn_method_type","Final_boil_point (C)","Project_code"
"100011508419W600","3600","4100","B","00030","00","E77-8948","SEP","","1226.8","1221.9","19770725","0",".781","0","49.7",".67","","367.7",".83",".75","0","0","","","","2689","33.3","ENG","","00"
"100031408318W600","","","","00034","00","8685","","","0","0","19560804",".07",".827","0","39.6",".23","","",".35",".15","0","0","","","","0","","HEM","321.1",""
"100031408318W600","","","","00034","00","R312","DST","","0","0","19520704",".01","0","0","37.7",".04","","","0","0","0","0","","","","0","","HEM","",""
"100123408317W600","","","","00035","00","E90-8495","WHD","","0","0","19900926","3.69",".8","799","45.4",".0043","-18","366",".37",".13",".18","12.3","","","0","0","0","MOD","0",""
"200D098I094A1100","","","","00045","00","805P","OTH","","0","0","19650614","0","0","0","32.2",".87","","","0","0","0","0","","","","0","","MOD","",""
"100130108420W600","8360","4800","B","00047","00","F87-2816-3","SEP","","1635.8","1632.2","19871214","0",".778","777","50.4",".0062","0","0",".62",".12",".09","0","","","0","0","0","MOD","394","00"
"200A079B094H0400","","","","00061","00","808P","","","0","0","19650615","0","0","0","39.7",".65","","","0","0","0","0","","","","0","","","",""
"200C010A094A1400","","","","00065","00","633P","SEP","","1157","1141.4","19640530","0","0","0","44","0","","","0","0","0","0","","","","0","","MOD","",""
"200C032D094A1300","1400","2900","B","00070","00","F89-0282-3","SEP","","1318","1292.4","19890804",".05",".763","762","54",".001","0","0",".88",".04","0","0","","","0","0","0","MOD","277","02"
"100043608216W600","","","","00077","00","80P","DST","","1951.8","1945.4","19531119","0",".821","0","40.8",".18","","","0",".123",".137","0","","","","0","","","",""
"200B023E094A1400","","","","00086","00","E80-14371-2","MET","","0","0","19801203","0",".731","730","0","0","0","0",".9549","0","0","0","","SAMPLE CONSISTED OF 8.5% SALTY WATER, 91.5% CONDENSATE.","0","0","0","ENG","236",""
"200D083J094A1100","2400","2900","C","00096","00","625P","SEP","","1147.2","1143.6","19610530","0","0","0","54","0","","","0","0","0","0","","","","0","","MOD","","00"
"200D095K094A1100","","","","00099","00","426P","SEP","","0","0","19580417","0","1.005","0","57","0","","","0","0","0","0","","SAMPLE CRUDE OIL OR CONDENSATE WITH 11% WATER CUT.","","0","","","",""
"100060708520W600","9000","4500","06-07-085-20-W6M","00102","00","E80-9081-2","SEP","","1427.7","1425.9","19800825","0",".738","738","0",".0045","0","0",".99","0","0","0","","","0","0","0","ENG","230","00"
"200B038C094A1300","","","","00103","00","E12255","SEP","","1715.3","1703.4","19580718","0",".768","0","52.6",".32","","","0","0","0","0","","","","275.8","31.1","","",""
"100143608619W600","","","","00104","00","E81-17900-3","SEP","","0","0","19810208","0",".76","759","0",".004","0","0",".91","0","0","0","","","0","0","0","ENG","229",""
"100143608619W600","","","","00104","00","E81-17900-5","SEP","","0","0","19810227","0",".755","755","0",".004","0","0",".94","0","0","0","","","0","0","0","ENG","217",""
"100050108725W600","4600","4100","A","00107","00","10576","","","1142","1123.1","19571009",".03",".744","0","58.7",".56","","","0","0","0","0","","","","0","","","","02"
"100050108725W600","","","","00107","00","E12309","SEP","","0","0","19580722","0",".696","0","71.8",".23","","","0","0","0","0","","","","0","","","",""
"200C079J094A1100","","","","00110","00","E78-2063","SEP","","0","0","19780911","0",".746","745","0",".0027","0","303",".82",".12","0","0","","","0","0","0","ENG","0",""
"100042708817W600","7600","2900","F","00130","00","779P","SEP","","1076.2","1073.1","19650326","0","0","0","60.7",".07","","","0","0","0","0","","","","0","","MOD","209.4","00"
"100042708817W600","7600","2900","F","00130","00","792P","","","1076.2","1073.1","19650527","0","0","0","57.7",".14","","","0","0","0","0","","","","0","","MOD","","00"
"100042308619W600","","","","00134","00","185P","DST","","1258.2","1251.4","19550413","0","0","0","34.7","0","","","0","0","0","0","","","","0","","","",""
"200D094I094B0800","5200","7400","","00141","00","8124-1","","","2109.1","2077.4","19560325","0",".841","0","36.8","0","","","0","0","0","0","","","","0","","","","00"
"200D094I094B0800","5200","7400","","00141","00","8169-1","","","2036.3","2008.5","19560410","0",".755","0","55.7","0","","",".765",".18","2.5","0","","","","0","","","295.5","00"
"200D094I094B0800","5200","7400","","00141","00","8176-1","SEP","","2036.3","2008.5","19560421","0",".728","0","62.8",".05","","",".92","0","0","0","","8176-2: 5010-5080', SPEC GRAV 0.726, API 63.40, SULFUR 0.05, ENGLER DISTL, NAPTHA 91.0, F.B.P.514.","","0","","ENG","257.7","00"
"200D094I094B0800","5200","4800","A","00141","00","8176-2","","","1548.3","1527","19560430","0",".728","0","62.8",".05","","",".91","0","0","0","","","","0","","ENG","267.7","00"
"200D094I094B0800","5200","4500","B","00141","00","8188-7","SEP","","1399.3","1371.5","19560507","0",".734","0","61.3",".05","","",".84","0","0","0","","","","0","","","271.1","00"
"200D094I094B0800","5200","7400","","00141","00","C788","","","2109.1","2077.4","19560327","0",".838","0","37.4","0","","320","7",".135","0","0","","SAMPLE CONTAINED 7%-10% WATER & BLACK SEDIMENT.","","0","","HEM","","00"
"100062908115W600","6600","6200","A","00153","00","L-21156","DST","","2132","2127.4","19560324",".02","0","0","40.3","0","","","0","0","0","0","","","","0","","","","00"
"100062908115W600","6600","6200","A","00153","00","L-21356","DST","","2132","2127.4","19560508",".06","0","0","40.8","0","","","0","0","0","0","","","","0","","","","00"
"200A063G093I1500","","","","00158","00","C1194","","","3632.4","3630","19570531","0","0","0","0","0","","",".24","0","0","0","","APPEARS TO BE AN ORDINARY DIESEL FUEL OR STONE OIL.","","0","","","",""
