"OIL_DIST FILE"
"Oil_lab_num","Fractn_distlld_vol","Distlltn_temp (C)"
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0135-52134-2022-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0147-52134-2021-2","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-1","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-10","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-12","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-14","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-3","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-5","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
"0189-52134-2021-7","",""
