"OIL_VISC FILE"
"Oil_lab_num","Viscsty_temp (C)","Viscsty_abslt (mPa-S)","Viscsty_kinmtc (mm2/S)"
"0135-52134-2022-2","20","2.512","3.17"
"0135-52134-2022-2","30","1.934","2.464"
"0135-52134-2022-2","40","1.578","2.031"
"0135-52134-2022-2","","",""
"0135-52134-2022-2","","",""
"0135-52134-2022-2","","",""
"0147-52134-2021-2","20","1.785","2.28"
"0147-52134-2021-2","30","1.444","1.863"
"0147-52134-2021-2","40","1.204","1.57"
"0147-52134-2021-2","","",""
"0147-52134-2021-2","","",""
"0147-52134-2021-2","","",""
"0162-52136-15-10","20","10.83","12.59"
"0162-52136-15-10","30","7.724","9.057"
"0162-52136-15-10","40","5.911","6.989"
"0162-52136-15-10","","",""
"0162-52136-15-10","","",""
"0162-52136-15-10","","",""
"0162-52136-15-11","20","9.58","11.19"
"0162-52136-15-11","30","6.987","8.23"
"0162-52136-15-11","40","5.379","6.39"
"0162-52136-15-11","","",""
"0162-52136-15-11","","",""
"0162-52136-15-11","","",""
"0162-52136-15-12","20","12.61","14.59"
"0162-52136-15-12","30","8.938","10.42"
"0162-52136-15-12","40","6.724","7.907"
"0162-52136-15-12","","",""
"0162-52136-15-12","","",""
"0162-52136-15-12","","",""
"0162-52136-15-13","20","14.25","16.45"
"0162-52136-15-13","30","9.636","11.22"
"0162-52136-15-13","40","7.203","8.456"
"0162-52136-15-13","","",""
"0162-52136-15-13","","",""
"0162-52136-15-13","","",""
"0162-52136-15-14","20","8.874","10.4"
"0162-52136-15-14","30","6.674","7.889"
"0162-52136-15-14","40","5.185","6.183"
"0162-52136-15-14","","",""
"0162-52136-15-14","","",""
"0162-52136-15-14","","",""
"0162-52136-15-15","20","8.158","9.584"
"0162-52136-15-15","30","6.058","7.177"
"0162-52136-15-15","40","4.667","5.577"
"0162-52136-15-15","","",""
"0162-52136-15-15","","",""
"0162-52136-15-15","","",""
"0162-52136-15-16","20","9.696","11.31"
"0162-52136-15-16","30","7.132","8.387"
"0162-52136-15-16","40","5.445","6.458"
"0162-52136-15-16","","",""
"0162-52136-15-16","","",""
"0162-52136-15-16","","",""
"0162-52136-15-17","20","13.3","15.37"
"0162-52136-15-17","30","9.29","10.82"
"0162-52136-15-17","40","6.965","8.179"
"0162-52136-15-17","","",""
"0162-52136-15-17","","",""
"0162-52136-15-17","","",""
"0162-52136-15-18","20","8.68","10.18"
"0162-52136-15-18","30","6.305","7.457"
"0162-52136-15-18","40","4.865","5.802"
"0162-52136-15-18","","",""
"0162-52136-15-18","","",""
"0162-52136-15-18","","",""
"0162-52136-15-19","30","11.56","13.41"
"0162-52136-15-19","40","8.335","9.751"
"0162-52136-15-19","50","5.934","7.001"
"0162-52136-15-19","","",""
"0162-52136-15-19","","",""
"0162-52136-15-19","","",""
"0162-52136-15-2","20","10.48","12.22"
"0162-52136-15-2","30","7.416","8.724"
"0162-52136-15-2","40","5.631","6.679"
"0162-52136-15-2","","",""
"0162-52136-15-2","","",""
"0162-52136-15-2","","",""
"0162-52136-15-20","20","13.04","15.09"
"0162-52136-15-20","30","9.004","10.51"
"0162-52136-15-20","40","6.801","8.003"
"0162-52136-15-20","","",""
"0162-52136-15-20","","",""
"0162-52136-15-20","","",""
"0162-52136-15-21","20","13.84","16.02"
"0162-52136-15-21","30","9.222","10.77"
"0162-52136-15-21","40","6.819","8.028"
"0162-52136-15-21","","",""
"0162-52136-15-21","","",""
"0162-52136-15-21","","",""
"0162-52136-15-22","20","9.229","10.79"
"0162-52136-15-22","30","6.77","7.977"
"0162-52136-15-22","40","5.216","6.198"
"0162-52136-15-22","","",""
"0162-52136-15-22","","",""
"0162-52136-15-22","","",""
"0162-52136-15-24","20","8.194","9.62"
"0162-52136-15-24","30","6.078","7.195"
"0162-52136-15-24","40","4.704","5.615"
"0162-52136-15-24","","",""
