"POOLS FILE"
"Area Code","Formtn Code","Pool Seq"
"0050","2350",""
"0050","4500",""
"0050","7400",""
"0050","8400",""
"0050","8400","A"
"0050","8400","B"
"0050","8400","C"
"0050","8400","H"
"0050","8400","I"
"0050","8400","J"
"0050","8400","K"
"0050","8400","L"
"0050","8400","M"
"0050","8400","N"
"0050","8400","O"
"0050","8400","P"
"0050","8430",""
"0050","8500","A"
"0050","8600",""
"0100","2600",""
"0100","2600","A"
"0100","2700",""
"0100","2800",""
"0100","2850",""
"0100","2900",""
"0100","2900","A"
"0100","4000",""
"0100","4100",""
"0100","4100","A"
"0100","4500",""
"0100","4510",""
"0100","4580",""
"0100","4580","A"
"0100","4580","B"
"0100","4580","C"
"0100","4580","D"
"0100","4591",""
"0100","4800",""
"0100","4800","A"
"0100","4800","B"
"0100","4800","C"
"0100","4800","D"
"0100","6200",""
"0100","6200","A"
"0100","6200","B"
"0200","2700",""
"0200","2700","A"
"0200","4100",""
"0210","2600","A"
"0210","2600","B"
"0210","2900","A"
"0210","4100",""
"0210","4100","A"
"0250","2700",""
"0250","3200",""
"0250","4100",""
"0250","4900",""
"0250","6200",""
"0250","7250",""
"0250","7250","A"
"0320","1680",""
"0320","2400",""
"0320","2600",""
"0320","2600","A"
"0320","2600","B"
"0320","2600","C"
"0320","2700",""
"0320","2700","A"
"0320","2700","B"
"0320","2800",""
"0320","3200","A"
"0320","4100",""
"0320","4500",""
"0320","4500","A"
"0320","4540",""
"0320","4540","A"
"0320","4800","A"
"0320","4800","B"
"0320","4900",""
"0320","4900","A"
"0320","7250","14-34-084-25-W6M"
"0320","7400",""
"0320","7400","14-34-084-25-W6M"
"0350","4100","A"
"0350","4100","B"
"0350","4800",""
"0350","4900",""
"0350","6200",""
"0350","7250",""
"0350","7250","A"
"0350","7340","A"
"0350","7350","A"
"0350","7400",""
"0350","7400","A"
"0380","2700","A"
"0380","2700","B"
"0380","4100",""
"0380","4520",""
"0380","4582","A"
"0380","4582","B"
"0380","4582","C"
"0380","4582","D"
"0380","4800",""
"0380","4800","A"
"0380","4800","B"
"0380","6200",""
"0380","6200","A"
"0380","6200","B"
"0380","7250","A"
"0400","2600",""
"0400","2600","A"
"0400","2600","B"
"0400","2600","C"
"0400","2600","D"
"0400","2700",""
"0400","2700","A"
"0400","2710",""
"0400","4100",""
"0400","4500",""
"0400","4531","A"
"0400","4540","A"
"0400","4610","A"
"0400","4800",""
"0400","4800","A"
"0400","4800","B"
"0400","4800","C"
"0400","4800","D"
"0400","4800","E"
"0400","4800","G"
"0400","4800","H"
"0600","2600",""
"0600","2600","A"
"0600","2600","B"
"0600","2600","C"
"0600","2700",""
"0600","2700","A"
"0600","2700","B"
"0600","4800",""
"0600","4800","A"
"0600","4800","B"
"0700","2600",""
"0700","2600","A"
"0700","3200",""
"0700","4040","A"
"0700","4100",""
"0700","4798","A"
"0700","4800",""
"0700","4800","C"
"0700","4800","D"
"0700","4805","A"
"0740","7000",""
"0740","7100",""
"0740","7100","A"
"0740","7100","B"
"0740","7100","C"
"0740","7250",""
"0740","7386","A"
"0740","7700","A"
"0740","7730",""
"0740","8580",""
"0740","8580","A"
"0740","8580","B"
"0760","0050",""
"0760","2400",""
"0760","2400","A"
"0760","2600",""
"0760","2600","A"
"0760","2700",""
"0760","2700","A"
"0760","2700","B"
"0760","2900","B"
"0760","2900","C"
"0760","2900","D"
"0760","3200",""
"0760","4100",""
"0760","4100","A"
"0760","4500","A"
"0760","4510","A"
"0760","4520",""
"0760","4520","A"
"0760","4520","B"
"0760","4700",""
"0760","4800",""
"0760","4800","A"
"0760","4800","B"
"0760","4800","C"
"0760","4800","D"
"0760","4800","E"
"0760","4800","F"
"0760","4800","G"
"0760","4800","H"
"0760","4800","I"
"0760","4800","K"
"0760","4800","L"
"0760","4900","A"
"0800","1500",""
"0800","1720",""
"0800","2600",""
"0800","2600","A"
