"PROJECTS FILE"
"Area Code","Formtn Code","Pool Seq","Project Code","Project Name","Project Type","Proj Revns Num","Proj Doa","Proj Dga","Proj Eff Date","Proj Apprvl Date","Proj Term Date","Proj Area","PE Num"
"0400","4800","B","03","ENCAL PROJECT","CONC","2","10","60","19900107","20001214","","94-H-2 Block J Units 40, 50, 59, 60               Block K Units 31, 41, 51.","0136"
"0800","4800","B","02","PETRO-CAN PROJECT","GEPG","1","","","19690901","19690901","","94-G-1 Block B - units 78, 79, 88, 89, 98-100               Block C - unit 91               Block F - units 1, 11-13, 21-23, 31-33, 41-43, 52-55, 62-65, 72-75, 82-85, 94-97               Block G - units 8-10, 18-20, 28-30, 40, 50               Block K - units 4-7, 16-19, 26-29, 36-40, 46-50, 58-60, 68-70, 80, 90               Block L - units 31, 41, 51, 61, 71 and 81.","0104"
"2000","4800"," ","08","PETRO-CANADA PROJECT","CONC","","48.1","","20030827","20030827","","Twp 85 Rge 14 - Sect 23","1059"
"2100","4700","B","03","CONOCOPHILLIPS PROJECT","CONC","","","","20030801","20061102","","93-P-10 Block B - Units 80, 89, 90             Block C - Units 61-63,  71-73, 81-83, 91-95             Block F - Units 2-4, 12-15, 22-25, 33-36, 43-46, 53-56 Twp 76 Rge 19 - Sect 35, partial Lsd's 15 & 16                         Sect 36, partial Lsd's 13-16 Twp 77 Rge 19 - Sect 1, E/2 Sect 2, E/2 Sect 11, Sect 12. ","1317"
"2240","4540","A","02","BG CANADA PROJECT","PMWF","1","40","","20031209","20030123","20200224","94-G-8 Block A - Units 70, 79, 80, 89, 90, 100            Block B - Units 81 and 91.","1022"
"2400","2900","P","03","BONAVISTA PROJECT","CONC","","21.7","20.4","20150819","20150819","","NTS 94-A-11 Block K - Units 71 and 81",""
"2400","4805","C","05","CNRL PROJECT","CONC","7","","453.8","19941201","19941130","","94-A-11 Block I - Units 75-78, 84-88, 94-98  94-A-14 Block A - Units 4-8, 14-17, 24-27 and 36.","0214"
"2400","4805","C","19","CNRL","PMWF","","","453.8","","20150310","","NTS   94-A-11 Block I – Units 75-78, 84-88, 94-98 	    94-A-14 Block A – Units 4-8, 14-17, 24-27 and 36",""
"2920","4900","F","02","DOMINION PROJECT","CONC","","40","48","20040806","20040806","","Twp 88 Rge 22 - Sect 6.","1140"
"2960","4510","A","02","CNRL PROJECT","GEPO","","80","","20000331","19991224","","Twp 84 Rge 17 - W/2 Sect 32 Twp 85 Rge 17 - Sect 5 and S/2 Sect 8.","0347"
"2960","4520","E","04","ENCAL PROJECT","GEPO","","","","19970401","19970428","","Twp 84 Rge 17 - E/2 Sect 20.","0261"
"2960","4580","A","02","SCURRY UNIT #1","CONC","","23.8","148.6","19790201","19790201","","Twp 84 Rge 17 - Sect 19, 30, 31 Twp 84 Rge 18 - Sect 13, 24.","0137"
"3260","4800","A","02","CNRL UNIT #1","PMWF","","219.8","","19701001","19701001","20200211","94-A-16 Block F - Units 28, 29, 38, 39, 48, 49, 58, 59.","0022"
"3300","4800","D","02","CNRL UNIT #1","PMWF","","99.6","","19670901","19670901","20170831","94-A-16 Block C - Units 4-7, 15-17, 26.",""
"3320","2700","C","02","CNRL PROJECT","GEPG","","","60","20041129","20041129","","94-A-9 Block L - units 52, 53, 62 and 63","1165"
"3380","2630","A","02","BURLINGTON PROJECT #1","GEPG","2","","","20030303","20030303","","94-H-9   Block E - units 51-53, 61-63, 71-73, 81-83, 91 Block F - units 51-55, 60-65, 70-75, 80-85, 90-95, 98-100 Block G - units 34, 35, 44, 45, 52-55, 62-65, 71-90, 96-100 Block H - units 80, 90 Block J - units 6-10, 16-20, 26-30, 40, 50 Block K - units 1-5, 8-50, 54-60, 64-70, 74-80, 84-90, 98-100 Block L -units 1, 11-19, 21-29, 31-35, 41-45, 51-55, 61-65, 71-79, 81-89, 91-99 94-H-16 Block C - units 8-10, 18-20, 28-30, 40, 50 Block D - units 1-9, 11-17, 21-27, 31-35, and 41-45.","1034"
"3410","7600"," ","03","ISH WATERFLOOD PROJECT","PMWF","10","","","19960604","19960605","","94-P-2: Block L - Units 65, 74-76, 84-87, 94-98 94-P-7: Block D - Units 4-8, 14-18, 24-28, 37 and 38.","0241"
"3520","2600","F","02","PENN WEST PROJECT","CONC","","10","7.5","20010321","20010322","","94-H-3 Block H - Unit 2.","0381"
"3540","2900","L","02","CREW ENERGY PROJECT","GEPO","","","","20070402","20070402",""," 94-A-13:  Block A - units 60 and 70                Block B ' units 51 and 61. ","1349"
