"PST FILE"
"UWI","Area_code","Formtn_code","Pool_seq","Wa_num","Compltn_event_seq","Press_survey_datum_depth","Pst_Comments","Abs_Gauge","Project_code"
"100131108117W600","8157","4100","A","00004","00","716","","A","00"
"100100707916W600","8120","2000","A","00015","00","106","","A","00"
"100083208317W602","0100","2900","A","00027","02","382","","A","00"
"100142108318W600","3600","6200","A","00029","00","1251","","A","00"
"100011508419W600","3600","4100","B","00030","00","507","","A","00"
"100141508318W600","3600","4100","A","00032","00","503","Zone abandoned 82/10/28.","","00"
"100031408318W600","3600","4100","","00034","00","711","","","00"
"100031408318W602","3600","4580","A","00034","02","698","Perfed 1323.3-1326 mKB 87/01/17. Previous MPP = 1325.4 mCF.","A","02"
"100031408318W603","3600","4500","","00034","03","724","","A","00"
"100123408317W602","0100","4800","A","00035","02","813","","A","00"
"100041008317W600","4000","6200","A","00042","00","1297","","A","00"
"100041008317W603","4000","4800","A","00042","03","864","","A","00"
"200D098I094A1100","2400","2900","A","00045","00","384","","A","00"
"100130108420W600","8360","4800","B","00047","00","819","","A","00"
"100080508317W600","4000","6200","A","00052","00","1297","Zone abandoned Sept' 68.","A","00"
"100032908318W600","3600","6200","A","00058","00","1251","","A","00"
"100103308217W600","4000","4800","A","00060","00","864","","A","00"
"200A079B094H0400","6400","4100","A","00061","00","426","","A","02"
"100120708418W600","3600","4100","B","00062","00","503","","A","00"
"100120708418W602","3600","4100","B","00062","02","","","","00"
"200D087D094A1300","1400","4100","B","00064","00","475","Cancelled 1983 survey well kills itself with water when shut in - very low gas production.","A","00"
"200D087D094A1302","1400","2900","B","00064","02","366","","A","02"
"200C010A094A1400","2400","2900","A","00065","00","384","","A","00"
"100052608118W600","9000","2900","05-26-081-18-W6M","00066","00","873","","","00"
"100052608118W602","9000","4590","05-26-081-18-W6M","00066","02","873","","A","00"
"100043208318W600","3600","4100","A","00067","00","503","","A","00"
"200C032D094A1300","1400","2900","B","00070","00","366","MPP OF 1294.3 MCF USED PRIOR TO 1992 FOR PST CALCULATIONS.","A","02"
"200C065D094A1300","1400","7400","B","00071","00","1241","","A","02"
"200C065D094A1302","1400","4100","B","00071","02","475","MPP of 1388.4 mCF used for PST calculations","A","00"
"200C065D094A1303","1400","2900","B","00071","03","366","","A","02"
"100012008318W600","3600","4800","A","00074","00","811","","A","00"
"102032908318W600","3600","2900","A","00075","00","299","","A","00"
"100142208318W600","3600","4100","A","00076","00","503","","A","00"
"100132308318W600","3600","4100","A","00082","00","503","","A","00"
"200B023E094A1400","2800","4800","A","00086","00","671","On production 1958 - 62, 81-94, 2002.","A","00"
"200B078C094A1400","2800","2900","B","00089","00","351","","A","00"
