"WATER_GAS_DISPOSAL FILE"
"Wa Num","CE","Serv Year","Serv Month","Water Dispsl Vol (m3)","Wellhd Press (kPa)","Water Dispsl Hours","Gas Dispsl Vol (e3m3)","Gas Dispsl Hours","Wellhd Temp"
"00031","00","1964","01","790.4","","","","",""
"00031","00","1964","02","820.2","","","","",""
"00031","00","1964","03","433.4","","","","",""
"00031","00","1964","04","434","","","","",""
"00031","00","1964","05","329.5","","","","",""
"00031","00","1964","06","560.2","","","","",""
"00031","00","1964","07","233.2","","","","",""
"00031","00","1964","08","440.4","","","","",""
"00031","00","1964","09","245.4","","","","",""
"00031","00","1964","10","512.4","","","","",""
"00031","00","1964","11","710.5","","","","",""
"00031","00","1964","12","405.7","","","","",""
"00031","00","1965","01","434.6","","","","",""
"00031","00","1965","02","328.3","","","","",""
"00031","00","1965","03","568.8","","","","",""
"00031","00","1965","04","462.1","","","","",""
"00031","00","1965","05","395.6","","","","",""
"00031","00","1965","06","257.9","","","","",""
"00031","00","1965","07","392","","","","",""
"00031","00","1965","08","617.5","","","","",""
"00031","00","1965","09","358.4","","","","",""
"00031","00","1965","10","420.6","","","","",""
"00031","00","1965","11","314.9","","","","",""
"00031","00","1965","12","325.5","","","","",""
"00031","00","1966","01","335.9","","","","",""
"00031","00","1966","02","347.2","","","","",""
"00031","00","1966","03","375.8","","","","",""
"00031","00","1966","04","644","","","","",""
"00031","00","1966","05","2401.2","","","","",""
"00031","00","1966","06","1434.1","","","","",""
"00031","00","1966","07","819.9","","","","",""
"00031","00","1966","08","342.9","","","","",""
"00031","00","1966","09","583.4","","","","",""
"00031","00","1966","10","542.2","","","","",""
"00031","00","1966","11","421.5","","","","",""
"00031","00","1966","12","654.7","","","","",""
"00031","00","1967","01","605","","","","",""
"00031","00","1967","02","847.4","","","","",""
"00031","00","1967","03","508.7","","","","",""
"00031","00","1967","04","346","","","","",""
"00031","00","1967","05","486.8","","","","",""
"00031","00","1967","06","539.5","","","","",""
"00031","00","1967","07","557.2","","","","",""
"00031","00","1967","08","629.4","","","","",""
"00031","00","1967","09","489.2","","","","",""
"00031","00","1967","10","268.8","","","","",""
"00031","00","1967","11","548","","","","",""
"00031","00","1967","12","773.9","","","","",""
"00031","00","1968","01","486.2","","","","",""
"00031","00","1968","02","402.3","","","","",""
"00031","00","1968","03","313.9","","","","",""
"00031","00","1968","04","488.9","","","","",""
"00031","00","1968","05","85.3","","","","",""
"00031","00","1968","06","82.3","","","","",""
"00031","00","1968","07","275.8","","","","",""
"00031","00","1968","08","158.5","","","","",""
"00031","00","1968","09","99.1","","","","",""
"00031","00","1968","10","612.7","","","","",""
"00031","00","1968","11","499.9","","","","",""
"00031","00","1968","12","405.4","","","","",""
"00031","00","1969","01","181.4","","","","",""
"00031","00","1969","02","385.6","","","","",""
"00031","00","1969","03","266.7","","","","",""
"00031","00","1969","04","96","","","","",""
"00031","00","1969","05","463.3","","","","",""
"00031","00","1969","06","125","","","","",""
"00031","00","1969","07","390.1","","","","",""
"00031","00","1969","08","490.7","","","","",""
"00031","00","1969","09","557.8","","","","",""
"00031","00","1969","10","1199.4","","","","",""
"00031","00","1969","11","178.3","","","","",""
"00031","00","1969","12","484.6","","","","",""
"00031","00","1970","01","153.9","","","","",""
"00031","00","1970","03","100.6","","","","",""
"00031","00","1970","04","128","","","","",""
"00031","00","1970","05","214.9","","","","",""
"00031","00","1970","06","417.6","","","","",""
"00031","00","1970","07","608.1","","","","",""
"00031","00","1970","08","147.8","","","","",""
"00031","00","1970","09","157","","","","",""
"00031","00","1970","10","554.7","","","","",""
"00031","00","1970","11","112.8","","","","",""
"00031","00","1971","07","302.7","","","","",""
"00031","00","1971","08","312.4","","","","",""
"00031","00","1971","09","206","","","","",""
"00031","00","1971","10","2586.3","","","","",""
"00031","00","1971","12","416.1","","","","",""
"00031","00","1972","01","730","","","","",""
"00031","00","1972","02","516.6","","","","",""
"00031","00","1972","03","432.8","","","","",""
"00031","00","1972","04","79.2","","","","",""
"00031","00","1972","05","132.6","","","","",""
"00031","00","1972","06","237.7","","","","",""
