"WTR_ANAL FILE"
"Uwi","Area code","Formtn code","Pool seq","Wa num","Drillng event seq","Water lab num","Sample point code","Test perf base depth (m)","Test perf top depth (m)","Sample date","Reltv densty","Water anlyss comments","Test num","Mud resstvty (mg/l)","Salnty (mg/l)","Tot solids disslvd calc (mg/l)","Restvty (mg/l)","Na contnt (mg/l)","K contnt (mg/l)","Ca contnt (mg/l)","Mg contnt (mg/l)","Ba contnt (mg/l)","Sr contnt (mg/l)","Fe contnt (mg/l)","Cl contnt (mg/l)","Br contnt (mg/l)","I contnt (mg/l)","Hco3 contnt (mg/l)","So4 contnt (mg/l)","Co3 contnt (mg/l)","Oh contnt (mg/l)","H2s contnt (mg/l)","H2s contnt desc","Test perf flag","Project code"
"100131108117W600","    ","    ","                ","00004","00","627","","1275.3","1275.6","19491014","0"," PRI SALI 93.2; PRI ALKAL 2.0; SEC ALKAL 4.8; TOTAL EPM 340.","","","0",".005","0","1877","0","83","58","0","0","0","1341","0","0","3125","72","0","0","0","","","  "
"200A045D094B1600","    ","    ","                ","00011","00","48-51","","1449.3","1449","19510128","0","TOP COLUMN THICK DRILLING MUD. SMALL AMOUNT OF WATER COULD BE SEPARATED FROM MUD.","","","0",".0088","0","2942","0","204","75","0","0","0","2895","0","0","1079","2160","0","0","0","STRONG","","  "
"100070507917W600","    ","    ","                ","00014","00","1486","","859.1","859.2","19510128","0"," SURFACE WATER. PRI SALI 8.34; SEC SALI 2.68; SEC ALKAL 88.98.","","","0",".0039","0","1566","0","72","4","0","0","0","568","0","0","3350","54","0","0","0","NONE","","  "
"100100907916W600","8120","2200","A               ","00017","00","1729","","933.4","933","19510504","1.004"," PRIMARY SAL. 80.8, SECONDARY SAL. 3.4, SECONDARY ALKALI. 15.8                   SUFACE WATER.","","","0",".0039","0","1630","0","10","9","0","0","0","627","0","0","3052","11","125","0","0","NONE","","00"
"100113107816W600","    ","    ","                ","00018","00","1768","","970.9","970.2","19510514","1.002","ABOVE PACKER PRI SALI 12.0; PRI ALKAL 82.6; SEC ALKAL 5.4; TOTAL EPM 114.","","","0",".003","0","1119","0","117","31","0","0","0","215","0","0","3056","44","0","0","0","NONE","","  "
"100113107816W600","    ","    ","                ","00018","00","1770","","964.8","964.7","19510514","1.002"," FORMATION WATER. PRIMARY SAL. 12., PRIMARY ALKALI. 82., SECONDARY ALKALI. 6. TOTAL EPM 115.","","","0",".0032","0","1286","0","22","16","0","0","0","215","0","0","3006","142","0","0","0","NONE","","  "
"100113107816W600","    ","    ","                ","00018","00","1771","","970.4","970.8","19510509","1.002","2 STDS ABO PACKE PRIMARY SAL. 15.4, PRIMARY ALKALI. 80.4, SECONDARY ALKALI. 4.2 TOTAL EPM 116","","","0",".003","0","1239","0","27","21","0","0","0","215","0","0","3056","40","0","0","0","","","  "
"100113107816W600","    ","    ","                ","00018","00","2206","","975.5","975.4","19510511","1.002"," PRIMARY SAL. 12.2, PRIMARY ALKALI. 73., SECONDARY ALKALI. 14.8 TOTAL EPM 114","","","0",".003","0","1236","0","17","12","0","0","0","180","0","0","3006","12","30","0","0","NONE","","  "
"100113107816W600","    ","    ","                ","00018","00","2208","","993.7","993.6","19510515","1.002"," PRIMARY SAL. 9.6, PRIMARY ALKALI. 87., SECONDARY ALKALI. 3.4 TOTALE PM 111.","","","0",".0031","0","1286","0","9","27","0","0","0","220","0","0","3006","4","91","0","0","NONE","","  "
"100113107816W600","    ","    ","                ","00018","00","2210","","999.8","999.7","19510506","1.002"," PRIMARY SAL. 10.8, PRIMARY ALKALI. 84.6, SECONDARY ALKALI. 4.6 TOTAL EPM 117","","","0",".0031","0","1284","0","10","24","0","0","0","220","0","0","3056","9","54","0","0","NIL","","  "
